assumed distance from screen (cm),2012 15in mac DPI,cms per pixel,,task,shape name,pixel distance to shape's edge closest to stop signal,pixel distance to inner edge of stop signal closest to shape,cm distance 1,cm distance 2,VA 1,VA 2,VA diff
20,221,0.01149321267,,stop signal,pentagon,253.6,286.7,2.914678733,3.295104072,8.291571441,9.355733838,1.064162397
20,221,0.01149321267,,stop signal,hourglass,346.5,351.4,3.98239819,4.038714932,11.26144227,11.41654109,0.1550988111
20,221,0.01149321267,,stop signal,tear,309.7,312.7,3.559447964,3.593927602,10.09141053,10.18712628,0.09571574544
20,221,0.01149321267,,stop signal,square,308.9,313.6,3.550253394,3.604271493,10.0658767,10.21582983,0.1499531286
20,221,0.01149321267,,motor,circle,247.3,305.3,2.842271493,3.508877828,8.088349654,9.950924563,1.862574909
20,221,0.01149321267,,motor,triangle,333.2,336.8,3.829538462,3.870914027,10.83962186,10.95391823,0.1142963787
20,221,0.01149321267,,motor,Lshape,270.6,277.3,3.110063348,3.187067873,8.838886994,9.054153455,0.2152664611
20,221,0.01149321267,,motor,rhombus,242.6,313.8,2.788253394,3.606570136,7.936605917,10.22220769,2.285601772
20,221,0.01149321267,,selective,moon,333.9,337.6,3.83758371,3.880108597,10.86185302,10.97930548,0.1174524612
20,221,0.01149321267,,selective,oval,247.8,304.2,2.8480181,3.496235294,8.104485922,9.915784109,1.811298186
20,221,0.01149321267,,selective,trapezoid,329.8,334.1,3.790461538,3.839882353,10.73159503,10.86820417,0.1366091467
20,221,0.01149321267,,selective,rectangle,278.2,307,3.197411765,3.52841629,9.083050354,10.00521766,0.922167304
