SSRTHigh,SSRTLow,MeanSSDBelowOrAbove300
288.83333333333337,371.8333333333333,Below
317.3333333333333,321.66666666666663,Below
280.5,327.66666666666663,Below
280.1666666666667,307.3333333333333,Below
217.83333333333331,306.0,Below
257.83333333333337,299.33333333333337,Below
266.33333333333337,265.33333333333337,Below
258.0,294.0,Below
270.1666666666667,337.0,Below
253.66666666666669,301.33333333333337,Below
282.6666666666667,305.0,Below
515.8333333333333,491.16666666666663,Below
222.16666666666666,243.0,Below
340.5,351.66666666666663,Below
305.3333333333333,354.6666666666667,Below
253.66666666666669,280.33333333333337,Below
193.16666666666669,242.5,Below
253.0,277.66666666666663,Below
263.0,297.66666666666663,Below
258.5,262.0,Below
327.25,336.66666666666663,Below
254.5,343.33333333333337,Below
330.16666666666663,387.0,Below
225.16666666666669,244.66666666666666,Below
360.5,314.0,Below
320.8333333333333,295.0,Below
314.6666666666667,387.66666666666663,Below
284.8333333333333,308.66666666666663,Below
247.33333333333334,260.33333333333337,Below
262.83333333333337,325.0,Below
216.16666666666669,281.33333333333337,Below
262.5,274.6666666666667,Below
402.25,366.66666666666663,Below
246.33333333333331,344.83333333333337,Below
254.0,290.66666666666663,Below
222.83333333333331,286.33333333333337,Below
244.0,287.0,Below
244.33333333333331,241.66666666666669,Below
268.0,269.0,Below
294.16666666666663,313.66666666666663,Below
245.83333333333331,281.6666666666667,Below
231.33333333333331,275.0,Below
320.16666666666663,359.66666666666663,Below
335.33333333333337,407.33333333333337,Below
273.3333333333333,265.6666666666667,Below
265.33333333333337,288.0,Below
272.0,357.8333333333333,Below
342.0,324.0,Below
308.1666666666667,315.33333333333337,Below
349.9166666666667,330.3333333333333,Below
244.16666666666666,275.33333333333337,Below
304.8333333333333,342.33333333333337,Below
275.8333333333333,353.33333333333337,Below
355.75,327.33333333333337,Below
256.83333333333337,275.33333333333337,Below
255.66666666666669,324.3333333333333,Below
232.66666666666669,239.33333333333331,Below
310.0,452.33333333333337,Below
334.0,405.66666666666663,Below
216.0,213.66666666666666,Below
264.66666666666663,280.33333333333337,Below
267.5,254.33333333333334,Below
255.66666666666669,285.66666666666663,Below
350.58333333333337,286.66666666666663,Below
257.6666666666667,386.0,Below
297.66666666666663,370.66666666666663,Below
256.5,308.33333333333337,Below
268.1666666666667,364.33333333333337,Below
241.16666666666666,244.0,Below
320.3333333333333,338.33333333333337,Below
291.66666666666663,433.3333333333333,Below
343.25,356.0,Below
341.83333333333337,250.66666666666666,Below
251.0,280.66666666666663,Below
279.1666666666667,307.66666666666663,Below
255.0,262.3333333333333,Below
275.16666666666663,311.0,Below
249.83333333333334,267.0,Below
311.33333333333337,321.33333333333337,Below
335.25,295.66666666666663,Below
288.1666666666667,321.0,Below
394.8333333333333,316.3333333333333,Below
373.83333333333337,392.0,Below
429.6666666666667,264.3333333333333,Below
283.33333333333337,266.33333333333337,Below
305.83333333333337,313.33333333333337,Below
271.6666666666667,260.66666666666663,Below
268.3333333333333,346.66666666666663,Below
270.3333333333333,286.6666666666667,Below
228.66666666666666,224.66666666666666,Below
285.5,317.3333333333333,Below
238.16666666666666,246.66666666666666,Below
339.5,368.33333333333337,Below
268.8333333333333,266.3333333333333,Below
265.6666666666667,307.66666666666663,Below
230.66666666666669,241.66666666666666,Below
314.66666666666663,338.0,Below
347.83333333333337,434.0,Below
264.3333333333333,268.3333333333333,Below
240.83333333333334,276.33333333333337,Below
265.16666666666663,271.0,Below
344.1666666666667,351.0,Below
314.33333333333337,269.0,Below
253.33333333333334,257.66666666666663,Below
297.0,353.66666666666663,Below
237.83333333333331,301.0,Below
286.0,357.66666666666663,Below
292.8333333333333,329.66666666666663,Below
304.6666666666667,294.6666666666667,Below
237.66666666666669,244.66666666666666,Below
262.6666666666667,253.33333333333331,Below
249.83333333333334,263.0,Below
192.83333333333334,240.0,Below
302.16666666666663,271.66666666666663,Below
267.6666666666667,346.0,Below
318.3333333333333,362.0,Below
217.83333333333331,252.66666666666666,Below
193.33333333333331,299.66666666666663,Below
325.0,380.66666666666663,Below
287.33333333333337,330.0,Below
318.5,380.33333333333337,Below
234.0,240.66666666666666,Below
285.0,315.3333333333333,Below
258.83333333333337,263.66666666666663,Below
277.16666666666663,294.66666666666663,Below
304.58333333333337,304.66666666666663,Below
279.3333333333333,274.3333333333333,Below
296.0,311.0,Below
239.5,238.0,Below
218.0,242.33333333333334,Below
251.5,252.33333333333331,Below
261.8333333333333,255.0,Below
253.66666666666669,278.33333333333337,Below
288.75,269.66666666666663,Below
223.66666666666669,214.0,Below
256.66666666666663,271.0,Below
227.33333333333331,248.0,Above
223.5,204.33333333333331,Above
249.16666666666669,268.3333333333333,Above
301.6666666666667,263.6666666666667,Above
209.83333333333331,218.66666666666669,Above
173.83333333333331,194.0,Above
260.5,237.33333333333331,Above
327.66666666666663,319.3333333333333,Above
238.5,230.0,Above
208.83333333333337,238.0,Above
219.0,226.66666666666669,Above
234.0,234.66666666666669,Above
400.5,415.3333333333333,Above
246.16666666666669,227.66666666666669,Above
267.6666666666667,306.0,Above
284.5,281.6666666666667,Above
292.1666666666667,278.0,Above
200.83333333333337,234.66666666666669,Above
229.33333333333337,219.66666666666669,Above
252.33333333333331,281.0,Above
197.16666666666669,213.66666666666669,Above
218.33333333333331,181.0,Above
205.91666666666663,238.66666666666669,Above
258.6666666666667,277.6666666666667,Above
246.0,281.0,Above
229.0,213.33333333333331,Above
256.1666666666667,277.6666666666667,Above
298.8333333333333,324.6666666666667,Above
256.0,275.0,Above
239.66666666666669,258.3333333333333,Above
309.6666666666667,314.6666666666667,Above
281.0,350.3333333333333,Above
249.66666666666669,265.0,Above
251.5,293.3333333333333,Above
246.16666666666669,291.0,Above
309.8333333333333,311.0,Above
208.16666666666669,204.33333333333331,Above
255.83333333333331,273.0,Above
249.5,228.33333333333331,Above
266.6666666666667,226.33333333333331,Above
260.1666666666667,255.33333333333331,Above
232.16666666666663,269.3333333333333,Above
220.83333333333331,216.66666666666669,Above
254.33333333333331,224.0,Above
312.3333333333333,319.6666666666667,Above
292.8333333333333,276.6666666666667,Above
253.08333333333331,225.33333333333331,Above
247.83333333333331,254.0,Above
290.6666666666667,302.3333333333333,Above
200.83333333333331,268.6666666666667,Above
240.0,231.33333333333331,Above
290.3333333333333,300.0,Above
213.5,213.33333333333331,Above
201.66666666666669,207.66666666666669,Above
290.3333333333333,239.0,Above
320.8333333333333,341.6666666666667,Above
224.33333333333331,200.0,Above
279.1666666666667,225.33333333333331,Above
193.16666666666669,195.66666666666669,Above
199.5,226.66666666666669,Above
230.16666666666663,212.66666666666663,Above
281.3333333333333,272.3333333333333,Above
236.83333333333331,261.0,Above
228.5,89.5,Above
271.3333333333333,254.33333333333331,Above
240.66666666666669,202.33333333333331,Above
280.3333333333333,237.0,Above
220.66666666666669,215.0,Above
366.5,440.3333333333333,Above
276.0,245.66666666666669,Above
215.66666666666669,205.33333333333331,Above
244.16666666666669,320.3333333333333,Above
189.16666666666669,223.0,Above
244.16666666666669,322.6666666666667,Above
360.0,383.3333333333333,Above
249.16666666666669,197.66666666666669,Above
237.16666666666669,284.6666666666667,Above
186.0,205.0,Above
258.6666666666667,311.6666666666667,Above
252.33333333333331,252.33333333333331,Above
223.33333333333331,243.66666666666669,Above
141.5,205.5,Above
257.75,225.0,Above
299.4166666666667,297.3333333333333,Above
350.6666666666667,309.0,Above
182.83333333333331,190.0,Above
200.33333333333337,166.33333333333331,Above
280.8333333333333,292.0,Above
