short_subject,short_mean_stopFailureRT,short_mean_precedingGoRT,short_SSD,short_strategy,long_subject,long_mean_stopFailureRT,long_mean_precedingGoRT,long_SSD,long_strategy
25,444.6666666666667,469.0,< 250,SD,25,576.6896551724138,589.2413793103449,> 250,SD
34,471.4142857142857,419.01428571428573,< 250,DDS,34,424.5,422.5,> 250,DDS
35,614.7857142857143,544.2142857142857,< 250,DDS,35,509.3030303030303,530.4848484848485,> 250,DDS
36,497.0851063829787,418.29787234042556,< 250,DDS,36,520.5,672.5,> 250,DDS
37,436.77777777777777,471.6666666666667,< 250,SD,37,477.09302325581393,502.4186046511628,> 250,SD
38,517.8387096774194,411.83870967741933,< 250,DDS,38,394.0,370.0,> 250,DDS
39,429.02985074626866,417.1194029850746,< 250,DDS,39,,,> 250,DDS
40,,,< 250,SD,40,719.4404761904761,742.1309523809524,> 250,SD
41,539.05,484.95,< 250,DDS,41,503.5833333333333,495.0416666666667,> 250,DDS
42,1018.0,478.0,< 250,SD,42,552.3068181818181,604.3863636363636,> 250,SD
43,495.93333333333334,454.0,< 250,DDS,43,481.1111111111111,523.6666666666666,> 250,DDS
26,515.175,472.15,< 250,DDS,26,468.0,500.0,> 250,DDS
44,428.0,489.5,< 250,SD,44,530.1714285714286,620.8857142857142,> 250,SD
45,504.07142857142856,547.7857142857143,< 250,DDS,45,618.1551724137931,599.3620689655172,> 250,DDS
46,700.2352941176471,797.1176470588235,< 250,DDS,46,694.3968253968254,705.2063492063492,> 250,DDS
47,584.25,548.8125,< 250,DDS,47,531.85,574.6333333333333,> 250,DDS
48,614.25,513.5,< 250,DDS,48,557.016129032258,558.483870967742,> 250,DDS
27,663.741935483871,571.8064516129032,< 250,DDS,27,539.7333333333333,604.1666666666666,> 250,DDS
28,503.0,531.0,< 250,SD,28,453.31481481481484,494.4074074074074,> 250,SD
29,866.6666666666666,660.0,< 250,SD,29,580.9404761904761,644.7738095238095,> 250,SD
30,448.73333333333335,440.53333333333336,< 250,DDS,30,471.25,536.0833333333334,> 250,DDS
31,683.3333333333334,446.0,< 250,DDS,31,551.5844155844156,590.8701298701299,> 250,DDS
32,565.2758620689655,554.2758620689655,< 250,SD,32,541.4375,632.0,> 250,SD
33,535.0,454.4230769230769,< 250,DDS,33,506.575,568.85,> 250,DDS
