ssd,subject,violation,study
100.0,1,-3.25,FixedSSDs1
200.0,1,240.0,FixedSSDs1
300.0,1,-81.77777777777777,FixedSSDs1
400.0,1,-33.172413793103445,FixedSSDs1
500.0,1,-6.0555555555555545,FixedSSDs1
100.0,2,79.0,FixedSSDs1
200.0,2,-6.962962962962963,FixedSSDs1
300.0,2,-35.0625,FixedSSDs1
400.0,2,14.13157894736842,FixedSSDs1
500.0,2,9.951219512195124,FixedSSDs1
100.0,3,18.454545454545453,FixedSSDs1
200.0,3,-3.2307692307692313,FixedSSDs1
300.0,3,-28.24,FixedSSDs1
400.0,3,-81.78787878787878,FixedSSDs1
500.0,3,4.973684210526316,FixedSSDs1
100.0,4,33.5,FixedSSDs1
200.0,4,51.625,FixedSSDs1
300.0,4,0.9565217391304348,FixedSSDs1
400.0,4,-22.714285714285715,FixedSSDs1
500.0,4,-23.921052631578952,FixedSSDs1
100.0,5,25.0,FixedSSDs1
200.0,5,-45.33333333333334,FixedSSDs1
300.0,5,-105.11111111111113,FixedSSDs1
400.0,5,-21.428571428571427,FixedSSDs1
500.0,5,-51.38235294117647,FixedSSDs1
100.0,6,9.807692307692307,FixedSSDs1
200.0,6,-4.878787878787879,FixedSSDs1
300.0,6,-0.7575757575757576,FixedSSDs1
400.0,6,-26.439024390243897,FixedSSDs1
500.0,6,-10.615384615384617,FixedSSDs1
100.0,7,48.3,FixedSSDs1
200.0,7,27.16666666666667,FixedSSDs1
300.0,7,-49.94736842105264,FixedSSDs1
400.0,7,-43.25,FixedSSDs1
500.0,7,-31.805555555555557,FixedSSDs1
100.0,8,-0.8571428571428571,FixedSSDs1
200.0,8,-15.3,FixedSSDs1
300.0,8,14.133333333333333,FixedSSDs1
400.0,8,-3.0285714285714285,FixedSSDs1
500.0,8,-20.575,FixedSSDs1
100.0,9,-40.0,FixedSSDs1
200.0,9,-199.0,FixedSSDs1
300.0,9,7.722222222222222,FixedSSDs1
400.0,9,-63.30769230769231,FixedSSDs1
500.0,9,-26.424242424242426,FixedSSDs1
100.0,10,-33.8,FixedSSDs1
200.0,10,-30.57142857142857,FixedSSDs1
