subject,ssd,nstoptrials,n_matched_go,mean_violation,mean_stopFailureRT,mean_precedingGoRT
1,150.0,8,2,-239.0,703.5,942.5
1,200.0,19,3,-110.66666666666667,442.3333333333333,553.0
1,250.0,38,9,-16.11111111111111,517.7777777777778,533.8888888888889
1,300.0,50,14,-61.42857142857143,468.85714285714283,530.2857142857143
1,350.0,34,12,-18.583333333333332,481.8333333333333,500.4166666666667
1,400.0,34,7,-16.571428571428573,491.85714285714283,508.42857142857144
1,450.0,39,12,-62.75,483.4166666666667,546.1666666666666
1,500.0,60,14,-68.28571428571429,585.0714285714286,653.3571428571429
1,550.0,81,23,-112.73913043478261,612.5652173913044,725.304347826087
1,600.0,53,24,-128.16666666666666,640.4166666666666,768.5833333333334
1,650.0,16,8,-184.625,647.75,832.375
1,700.0,8,2,-94.5,790.0,884.5
1,750.0,13,5,-168.2,798.4,966.6
10,150.0,8,2,2.0,527.5,525.5
10,200.0,30,4,-2.25,538.75,541.0
10,250.0,56,16,-5.4375,515.0,520.4375
10,300.0,82,20,-84.8,476.8,561.6
10,350.0,80,24,-47.875,515.0416666666666,562.9166666666666
10,400.0,69,25,-42.12,565.76,607.88
10,450.0,72,19,-20.63157894736842,593.3684210526316,614.0
10,500.0,56,19,-83.57894736842105,620.5263157894736,704.1052631578947
10,550.0,19,13,-18.153846153846153,679.0,697.1538461538462
10,600.0,5,2,-191.0,589.5,780.5
11,100.0,14,2,-6.5,353.0,359.5
11,150.0,44,5,-27.6,459.0,486.6
11,200.0,105,21,-54.80952380952381,403.6666666666667,458.4761904761905
11,250.0,157,48,-22.5625,432.375,454.9375
11,300.0,89,39,-23.71794871794872,445.8974358974359,469.61538461538464
11,350.0,42,20,-111.1,437.6,548.7
11,400.0,17,7,-142.85714285714286,416.57142857142856,559.4285714285714
11,450.0,6,3,-195.66666666666666,472.0,667.6666666666666
12,400.0,26,2,-158.5,481.0,639.5
12,450.0,47,10,-144.0,464.4,608.4
12,500.0,82,16,8.3125,612.0,603.6875
12,550.0,113,28,-47.607142857142854,631.6785714285714,679.2857142857143
12,600.0,99,36,-24.77777777777778,686.8055555555555,711.5833333333334
12,650.0,67,25,-58.04,725.24,783.28
12,700.0,21,9,-96.22222222222223,722.5555555555555,818.7777777777778
12,750.0,13,4,-26.5,808.0,834.5
13,350.0,20,3,44.0,524.0,480.0
13,400.0,64,8,-92.625,488.125,580.75
13,450.0,85,26,-155.46153846153845,552.5769230769231,708.0384615384615
13,500.0,107,29,-55.03448275862069,615.8275862068965,670.8620689655172
13,550.0,103,35,-110.48571428571428,603.0,713.4857142857143
13,600.0,71,19,-84.36842105263158,638.7368421052631,723.1052631578947
13,650.0,18,11,-101.81818181818181,672.9090909090909,774.7272727272727
13,700.0,4,2,-54.0,555.0,609.0
14,450.0,15,2,83.5,638.0,554.5
14,500.0,30,6,-24.333333333333332,617.0,641.3333333333334
14,550.0,39,14,-140.71428571428572,681.8571428571429,822.5714285714286
14,600.0,26,7,-99.71428571428571,698.1428571428571,797.8571428571429
14,650.0,22,7,-24.857142857142858,756.2857142857143,781.1428571428571
14,700.0,23,7,-50.857142857142854,872.1428571428571,923.0
14,750.0,16,3,26.333333333333332,839.0,812.6666666666666
15,250.0,6,3,65.0,724.3333333333334,659.3333333333334
15,350.0,30,4,-394.75,563.25,958.0
15,400.0,28,10,-269.1,491.9,761.0
15,450.0,26,4,29.5,590.5,561.0
15,500.0,36,10,-141.0,764.7,905.7
15,550.0,83,14,-253.57142857142858,596.5714285714286,850.1428571428571
15,600.0,100,37,-226.45945945945945,688.6756756756756,915.1351351351351
15,650.0,41,20,-100.1,741.45,841.55
15,700.0,28,8,-74.875,765.125,840.0
15,750.0,20,7,-103.85714285714286,812.2857142857143,916.1428571428571
16,100.0,5,2,57.0,563.5,506.5
