subject,ssd,nstoptrials,n_matched_go,mean_violation,mean_stopFailureRT,mean_precedingGoRT
1,200.0,21,3,-24.333333333333332,444.6666666666667,469.0
1,250.0,44,7,57.0,561.1428571428571,504.14285714285717
1,300.0,63,16,-6.1875,551.9375,558.125
1,350.0,60,19,-12.68421052631579,554.2105263157895,566.8947368421053
1,400.0,30,16,9.125,613.75,604.625
1,450.0,7,3,-81.66666666666667,634.0,715.6666666666666
1,550.0,4,3,-19.0,667.6666666666666,686.6666666666666
10,0.0,31,8,49.5,457.75,408.25
10,50.0,42,15,96.46666666666667,491.8,395.3333333333333
10,100.0,55,17,86.17647058823529,507.52941176470586,421.3529411764706
10,150.0,45,21,21.0,453.3809523809524,432.3809523809524
10,200.0,17,9,-9.0,423.44444444444446,432.44444444444446
10,250.0,6,2,-46.0,458.5,504.5
10,300.0,2,2,2.0,424.5,422.5
11,100.0,10,2,186.0,755.5,569.5
11,200.0,57,10,46.4,579.6,533.2
11,250.0,66,28,-12.035714285714286,517.5357142857143,529.5714285714286
11,300.0,44,18,-8.555555555555555,540.8888888888889,549.4444444444445
11,350.0,23,11,-20.727272727272727,482.54545454545456,503.27272727272725
11,400.0,7,3,-35.0,444.0,479.0
12,0.0,39,17,62.11764705882353,463.8235294117647,401.70588235294116
12,50.0,24,7,84.0,479.57142857142856,395.57142857142856
12,100.0,23,5,12.6,438.0,425.4
12,150.0,27,11,117.45454545454545,577.3636363636364,459.90909090909093
12,200.0,24,7,100.57142857142857,511.42857142857144,410.85714285714283
12,250.0,14,7,-12.0,448.2857142857143,460.2857142857143
12,300.0,2,2,-152.0,520.5,672.5
13,150.0,27,2,-174.5,423.5,598.0
13,200.0,53,15,-1.6,434.2,435.8
13,250.0,57,19,-79.52631578947368,392.42105263157896,471.94736842105266
13,300.0,47,17,-20.294117647058822,447.52941176470586,467.8235294117647
13,350.0,30,12,-29.166666666666668,463.5,492.6666666666667
13,400.0,13,10,-35.3,523.2,558.5
13,450.0,4,3,-14.333333333333334,527.0,541.3333333333334
14,0.0,20,3,136.0,529.0,393.0
14,50.0,31,12,119.16666666666667,553.9166666666666,434.75
14,100.0,42,12,168.66666666666666,539.0,370.3333333333333
14,150.0,48,20,106.5,511.45,404.95
14,200.0,41,15,38.666666666666664,478.3333333333333,439.6666666666667
14,250.0,22,12,9.833333333333334,438.0,428.1666666666667
14,300.0,2,2,24.0,394.0,370.0
15,0.0,21,4,6.0,389.0,383.0
15,50.0,45,10,34.0,425.0,391.0
15,100.0,65,18,-7.388888888888889,435.05555555555554,442.44444444444446
15,150.0,55,20,16.3,441.65,425.35
15,200.0,27,14,-8.142857142857142,422.85714285714283,431.0
15,250.0,9,4,-72.25,433.5,505.75
16,350.0,6,2,194.0,749.5,555.5
16,400.0,9,2,-214.0,531.5,745.5
16,450.0,21,5,117.4,739.2,621.8
16,500.0,50,10,-11.2,734.5,745.7
16,550.0,79,25,-33.96,730.16,764.12
17,100.0,12,2,232.0,589.0,357.0
17,150.0,30,2,-6.0,411.5,417.5
17,200.0,64,16,39.375,548.75,509.375
17,250.0,77,30,30.6,488.93333333333334,458.3333333333333
17,300.0,43,18,2.2777777777777777,498.8333333333333,496.55555555555554
17,350.0,9,6,27.333333333333332,517.8333333333334,490.5
18,300.0,23,4,28.75,599.25,570.5
18,350.0,53,14,-30.071428571428573,584.7142857142857,614.7857142857143
18,400.0,73,26,-54.30769230769231,532.0,586.3076923076923
18,450.0,56,27,-79.0,545.1111111111111,624.1111111111111
18,500.0,22,14,-29.142857142857142,575.2142857142857,604.3571428571429
18,550.0,3,3,-108.0,472.3333333333333,580.3333333333334
19,100.0,13,4,91.75,554.25,462.5
19,150.0,31,7,48.0,488.2857142857143,440.2857142857143
19,200.0,64,19,29.210526315789473,486.4736842105263,457.2631578947368
19,250.0,69,24,0.8333333333333334,473.125,472.2916666666667
19,300.0,40,17,-81.88235294117646,475.94117647058823,557.8235294117648
19,350.0,13,8,14.375,502.375,488.0
2,0.0,15,4,14.0,463.5,449.5
2,50.0,21,5,129.6,548.8,419.2
2,100.0,27,9,66.55555555555556,523.4444444444445,456.8888888888889
2,150.0,27,10,-27.8,511.2,539.0
2,200.0,18,12,58.0,515.5,457.5
2,250.0,9,4,180.75,563.5,382.75
2,300.0,3,3,-32.0,468.0,500.0
20,150.0,7,2,-56.5,367.5,424.0
20,200.0,11,3,-50.666666666666664,428.3333333333333,479.0
20,250.0,24,4,145.0,737.75,592.75
20,300.0,34,12,-153.0,481.0,634.0
20,350.0,43,11,-93.54545454545455,515.7272727272727,609.2727272727273
20,400.0,47,15,-145.06666666666666,483.8666666666667,628.9333333333333
20,450.0,32,17,-34.88235294117647,542.5882352941177,577.4705882352941
20,500.0,19,7,41.142857142857146,689.7142857142857,648.5714285714286
20,550.0,10,6,-172.66666666666666,542.6666666666666,715.3333333333334
21,0.0,9,3,104.0,669.0,565.0
21,50.0,8,2,-256.0,448.0,704.0
21,100.0,7,3,-37.333333333333336,479.3333333333333,516.6666666666666
21,150.0,10,2,8.0,512.5,504.5
21,200.0,23,4,-79.0,422.75,501.75
21,250.0,32,15,62.8,658.7333333333333,595.9333333333333
21,300.0,30,9,152.44444444444446,660.1111111111111,507.6666666666667
21,350.0,37,9,46.111111111111114,614.5555555555555,568.4444444444445
21,400.0,41,18,-36.72222222222222,626.1111111111111,662.8333333333334
21,450.0,24,14,-19.214285714285715,617.0,636.2142857142857
21,500.0,8,5,0.0,533.0,533.0
21,550.0,3,2,-160.5,627.0,787.5
22,100.0,10,6,-257.5,684.3333333333334,941.8333333333334
22,150.0,15,2,-48.5,616.0,664.5
22,200.0,22,8,24.375,755.875,731.5
22,250.0,18,6,-28.666666666666668,582.0,610.6666666666666
22,300.0,18,6,270.0,874.5,604.5
22,350.0,25,10,-70.1,589.6,659.7
22,400.0,34,7,90.28571428571429,778.5714285714286,688.2857142857143
22,450.0,41,17,-55.23529411764706,670.0588235294117,725.2941176470588
22,500.0,33,14,-70.57142857142857,676.7142857142857,747.2857142857143
22,550.0,14,7,-45.714285714285715,679.4285714285714,725.1428571428571
23,150.0,18,6,101.33333333333333,522.6666666666666,421.3333333333333
23,200.0,31,9,-46.666666666666664,593.2222222222222,639.8888888888889
23,250.0,48,14,70.71428571428571,575.6428571428571,504.92857142857144
23,300.0,54,23,-38.08695652173913,535.6086956521739,573.695652173913
23,350.0,42,17,-40.23529411764706,537.4705882352941,577.7058823529412
23,400.0,22,11,-43.54545454545455,503.72727272727275,547.2727272727273
23,450.0,10,7,15.428571428571429,529.0,513.5714285714286
24,200.0,25,7,95.71428571428571,619.0,523.2857142857143
24,250.0,53,11,-1.9090909090909092,532.2727272727273,534.1818181818181
24,300.0,61,23,41.0,571.3913043478261,530.3913043478261
24,350.0,40,16,-2.375,556.625,559.0
24,400.0,28,12,-39.416666666666664,501.9166666666667,541.3333333333334
24,450.0,17,9,-24.22222222222222,586.8888888888889,611.1111111111111
24,500.0,5,2,-152.5,591.0,743.5
3,50.0,9,5,326.4,806.2,479.8
3,100.0,16,4,-135.0,569.0,704.0
3,150.0,24,10,68.0,635.7,567.7
3,200.0,25,11,106.0909090909091,680.6363636363636,574.5454545454545
3,250.0,32,8,153.0,692.125,539.125
3,300.0,29,16,-49.375,576.875,626.25
3,350.0,12,9,-51.888888888888886,489.3333333333333,541.2222222222222
3,450.0,8,3,-246.33333333333334,472.0,718.3333333333334
3,500.0,4,2,31.5,571.0,539.5
4,200.0,19,2,-118.0,420.5,538.5
4,250.0,60,10,-44.1,437.4,481.5
4,300.0,85,21,-39.714285714285715,443.42857142857144,483.14285714285717
4,350.0,54,23,-37.95652173913044,442.69565217391306,480.6521739130435
4,400.0,15,9,-36.44444444444444,507.1111111111111,543.5555555555555
5,200.0,11,3,206.66666666666666,866.6666666666666,660.0
5,250.0,15,5,-25.6,589.0,614.6
