subject,ssd,nstoptrials,n_matched_go,mean_violation,mean_stopFailureRT,mean_precedingGoRT
1,250.0,36,5,-135.8,418.0,553.8
1,300.0,96,14,-60.42857142857143,437.64285714285717,498.07142857142856
1,350.0,150,44,-65.22727272727273,477.3636363636364,542.5909090909091
1,400.0,106,45,-58.91111111111111,504.68888888888887,563.6
1,450.0,49,20,-32.4,536.3,568.7
1,500.0,26,12,-94.66666666666667,547.25,641.9166666666666
1,550.0,7,3,-14.666666666666666,562.6666666666666,577.3333333333334
10,300.0,17,3,65.0,633.0,568.0
10,350.0,19,3,-62.666666666666664,521.0,583.6666666666666
10,400.0,79,9,-41.55555555555556,537.4444444444445,579.0
10,450.0,176,39,-40.17948717948718,605.2820512820513,645.4615384615385
10,500.0,126,55,-46.345454545454544,638.3818181818182,684.7272727272727
10,550.0,44,24,12.583333333333334,680.5416666666666,667.9583333333334
10,600.0,12,8,-110.625,675.875,786.5
11,200.0,25,3,-153.66666666666666,471.0,624.6666666666666
11,250.0,89,12,-13.25,474.6666666666667,487.9166666666667
11,300.0,158,41,-44.97560975609756,466.2439024390244,511.219512195122
11,350.0,114,49,-44.02040816326531,494.7551020408163,538.7755102040817
11,400.0,66,30,-46.233333333333334,519.4,565.6333333333333
11,450.0,22,8,-10.875,548.75,559.625
12,500.0,25,3,1.0,718.3333333333334,717.3333333333334
12,550.0,50,9,-79.0,722.1111111111111,801.1111111111111
12,600.0,83,22,-91.68181818181819,753.5909090909091,845.2727272727273
13,200.0,40,8,-16.75,507.5,524.25
13,250.0,91,19,-90.42105263157895,449.57894736842104,540.0
13,300.0,126,32,-58.71875,480.90625,539.625
13,350.0,101,42,-27.261904761904763,524.0952380952381,551.3571428571429
13,400.0,63,24,-68.04166666666667,510.0416666666667,578.0833333333334
13,450.0,22,10,-43.6,559.9,603.5
13,500.0,11,5,30.2,602.4,572.2
13,550.0,6,3,-191.0,485.3333333333333,676.3333333333334
14,200.0,13,2,81.0,512.0,431.0
14,250.0,58,3,-116.33333333333333,521.6666666666666,638.0
14,300.0,119,25,-51.24,510.64,561.88
14,350.0,166,51,-46.450980392156865,535.9803921568628,582.4313725490196
14,400.0,84,43,-49.06976744186046,558.1860465116279,607.2558139534884
14,450.0,23,14,9.142857142857142,602.7857142857143,593.6428571428571
14,500.0,4,3,59.666666666666664,598.6666666666666,539.0
15,250.0,21,5,-145.8,368.4,514.2
15,300.0,45,8,-224.5,477.375,701.875
15,350.0,70,16,-194.5625,479.375,673.9375
15,400.0,118,26,-19.53846153846154,590.1538461538462,609.6923076923077
15,450.0,99,34,-183.6764705882353,558.5,742.1764705882352
15,500.0,63,26,-198.80769230769232,580.3846153846154,779.1923076923077
15,550.0,40,15,-104.13333333333334,580.0,684.1333333333333
15,600.0,8,6,-206.66666666666666,577.6666666666666,784.3333333333334
16,150.0,120,38,5.421052631578948,468.7105263157895,463.2894736842105
16,200.0,99,40,-8.475,455.75,464.225
16,250.0,66,27,-26.555555555555557,459.22222222222223,485.77777777777777
16,300.0,13,6,-22.5,454.1666666666667,476.6666666666667
17,150.0,15,3,17.333333333333332,493.6666666666667,476.3333333333333
17,200.0,37,5,-8.6,469.6,478.2
17,250.0,86,17,-54.411764705882355,482.88235294117646,537.2941176470588
17,300.0,117,35,-61.0,469.14285714285717,530.1428571428571
17,350.0,109,33,-50.666666666666664,507.93939393939394,558.6060606060606
17,400.0,85,33,-59.90909090909091,534.5757575757576,594.4848484848485
17,450.0,25,15,-24.266666666666666,526.2666666666667,550.5333333333333
17,500.0,3,3,70.66666666666667,531.3333333333334,460.6666666666667
18,350.0,31,9,-80.77777777777777,500.3333333333333,581.1111111111111
18,400.0,76,11,-117.54545454545455,503.54545454545456,621.0909090909091
18,450.0,131,32,-93.90625,580.65625,674.5625
18,500.0,114,37,-88.70270270270271,601.081081081081,689.7837837837837
18,550.0,71,30,-25.3,651.9333333333333,677.2333333333333
18,600.0,27,15,47.266666666666666,690.8,643.5333333333333
19,250.0,53,6,-191.0,490.1666666666667,681.1666666666666
19,300.0,116,21,-57.523809523809526,526.3809523809524,583.9047619047619
19,350.0,151,47,-30.02127659574468,584.1914893617021,614.2127659574468
19,400.0,112,45,-47.044444444444444,566.6,613.6444444444444
19,450.0,29,19,1.105263157894737,569.578947368421,568.4736842105264
19,500.0,6,4,-110.75,560.25,671.0
2,200.0,52,6,-209.33333333333334,391.6666666666667,601.0
2,250.0,105,22,-42.40909090909091,461.8181818181818,504.22727272727275
2,300.0,122,35,-88.85714285714286,444.8,533.6571428571428
2,350.0,78,33,-41.39393939393939,468.8787878787879,510.27272727272725
2,400.0,38,13,-24.615384615384617,496.0,520.6153846153846
2,450.0,36,11,-113.54545454545455,535.9090909090909,649.4545454545455
2,500.0,21,13,-54.15384615384615,583.4615384615385,637.6153846153846
2,550.0,11,5,-120.4,633.4,753.8
2,600.0,4,3,-25.666666666666668,644.3333333333334,670.0
20,150.0,48,4,21.25,485.0,463.75
20,200.0,155,30,-27.9,430.8666666666667,458.76666666666665
20,250.0,162,63,-33.698412698412696,431.36507936507934,465.06349206349205
20,300.0,77,34,-65.97058823529412,453.1764705882353,519.1470588235294
20,350.0,27,12,-60.0,475.25,535.25
20,400.0,5,2,-22.5,508.0,530.5
21,150.0,27,4,-51.0,461.25,512.25
21,200.0,95,12,13.333333333333334,457.25,443.9166666666667
21,250.0,157,42,-45.61904761904762,434.1904761904762,479.8095238095238
21,300.0,109,45,-47.86666666666667,481.1333333333333,529.0
21,350.0,64,26,-5.461538461538462,481.3076923076923,486.7692307692308
21,400.0,20,10,15.6,517.0,501.4
21,450.0,3,2,33.5,472.0,438.5
22,150.0,30,5,72.0,479.4,407.4
22,200.0,70,14,-53.57142857142857,423.35714285714283,476.92857142857144
22,250.0,123,30,-68.56666666666666,439.8333333333333,508.4
22,300.0,133,45,-96.84444444444445,451.22222222222223,548.0666666666667
22,350.0,85,36,-75.61111111111111,515.2222222222222,590.8333333333334
22,400.0,24,12,-74.66666666666667,507.5833333333333,582.25
23,150.0,21,3,-25.0,504.3333333333333,529.3333333333334
23,200.0,78,12,19.916666666666668,560.8333333333334,540.9166666666666
23,250.0,133,33,-3.606060606060606,525.7878787878788,529.3939393939394
23,300.0,120,47,-88.12765957446808,481.48936170212767,569.6170212765958
23,350.0,58,23,-43.91304347826087,502.6521739130435,546.5652173913044
23,400.0,35,13,-11.153846153846153,536.1538461538462,547.3076923076923
23,450.0,19,6,-123.83333333333333,485.5,609.3333333333334
23,500.0,6,3,43.666666666666664,474.6666666666667,431.0
24,150.0,105,33,-27.303030303030305,440.42424242424244,467.72727272727275
24,200.0,84,35,-22.62857142857143,454.2,476.8285714285714
24,250.0,51,19,1.4736842105263157,475.2105263157895,473.7368421052632
24,300.0,36,13,20.0,467.7692307692308,447.7692307692308
24,350.0,24,7,-142.85714285714286,434.0,576.8571428571429
24,400.0,11,3,-148.0,438.0,586.0
24,450.0,9,4,-38.75,562.5,601.25
3,200.0,21,3,-52.333333333333336,397.3333333333333,449.6666666666667
3,250.0,72,12,-145.5,408.9166666666667,554.4166666666666
3,300.0,101,32,-60.40625,425.6875,486.09375
3,350.0,108,30,-56.8,469.53333333333336,526.3333333333334
3,400.0,95,31,-82.35483870967742,495.6774193548387,578.0322580645161
3,450.0,55,20,-50.6,533.85,584.45
3,500.0,16,10,-59.6,538.8,598.4
3,550.0,6,3,-190.66666666666666,486.0,676.6666666666666
4,200.0,59,7,-138.28571428571428,454.0,592.2857142857143
4,250.0,127,30,-51.43333333333333,479.96666666666664,531.4
4,300.0,131,48,-56.0625,509.3125,565.375
4,350.0,90,33,-12.818181818181818,551.6969696969697,564.5151515151515
4,400.0,44,20,17.3,572.65,555.35
4,450.0,14,6,-25.166666666666668,539.0,564.1666666666666
5,200.0,16,2,-14.5,445.5,460.0
5,250.0,55,7,19.142857142857142,511.2857142857143,492.14285714285717
5,300.0,115,29,-53.275862068965516,485.2758620689655,538.551724137931
5,350.0,112,33,-39.0,522.8787878787879,561.8787878787879
5,400.0,91,31,-55.645161290322584,537.483870967742,593.1290322580645
5,450.0,56,20,-66.65,543.15,609.8
5,500.0,25,14,-42.07142857142857,589.2142857142857,631.2857142857143
5,550.0,7,4,1.75,608.0,606.25
6,150.0,135,28,-16.607142857142858,414.0357142857143,430.64285714285717
6,200.0,125,48,-14.75,448.375,463.125
6,250.0,72,35,-5.285714285714286,447.1142857142857,452.4
6,300.0,24,10,-94.5,401.5,496.0
6,350.0,3,3,113.33333333333333,612.3333333333334,499.0
7,200.0,13,2,41.5,572.0,530.5
7,250.0,31,5,78.0,660.0,582.0
7,300.0,63,10,-80.2,499.7,579.9
7,350.0,95,23,-46.78260869565217,509.95652173913044,556.7391304347826
7,400.0,95,31,-59.096774193548384,527.1290322580645,586.2258064516129
7,450.0,88,29,-62.6551724137931,550.0344827586207,612.6896551724138
7,500.0,54,24,-32.583333333333336,595.0416666666666,627.625
7,550.0,25,9,-15.0,612.6666666666666,627.6666666666666
7,600.0,7,5,-21.0,671.2,692.2
8,150.0,27,4,89.25,626.5,537.25
8,200.0,105,17,-52.411764705882355,385.88235294117646,438.29411764705884
8,250.0,164,47,-85.44680851063829,408.4255319148936,493.8723404255319
8,300.0,118,50,-53.7,446.42,500.12
8,350.0,43,16,-65.8125,452.125,517.9375
8,400.0,14,8,-26.625,487.125,513.75
8,450.0,2,2,-54.0,603.0,657.0
9,300.0,20,8,-145.0,449.5,594.5
9,350.0,53,6,52.0,522.1666666666666,470.1666666666667
9,400.0,79,19,-103.89473684210526,525.2631578947369,629.1578947368421
9,450.0,110,25,-96.64,549.56,646.2
9,500.0,96,38,-74.07894736842105,576.3421052631579,650.421052631579
9,550.0,52,26,-84.53846153846153,631.6538461538462,716.1923076923077
9,600.0,41,15,-69.13333333333334,641.8,710.9333333333333
