subject,ssd,nstoptrials,n_matched_go,mean_violation,mean_stopFailureRT,mean_precedingGoRT
1,0.0,23,9,39.77777777777778,371.3333333333333,331.55555555555554
1,50.0,21,10,21.1,371.3,350.2
1,100.0,13,8,-10.125,318.375,328.5
1,150.0,6,3,5.666666666666667,352.0,346.3333333333333
1,200.0,2,2,-3.0,345.0,348.0
10,0.0,9,7,-124.0,339.14285714285717,463.14285714285717
10,100.0,3,2,138.5,398.5,260.0
11,50.0,16,4,81.0,459.25,378.25
11,100.0,30,5,-58.2,424.8,483.0
11,150.0,38,17,-84.0,355.94117647058823,439.94117647058823
11,200.0,23,15,-41.86666666666667,373.2,415.06666666666666
11,250.0,6,2,-61.0,369.5,430.5
13,50.0,19,7,19.285714285714285,386.42857142857144,367.14285714285717
13,100.0,28,8,97.25,482.75,385.5
13,150.0,30,13,-38.92307692307692,374.6923076923077,413.61538461538464
13,200.0,20,12,-33.5,380.5833333333333,414.0833333333333
13,250.0,7,7,-10.857142857142858,392.42857142857144,403.2857142857143
14,0.0,19,6,-2.0,393.5,395.5
14,50.0,26,12,3.4166666666666665,357.3333333333333,353.9166666666667
14,100.0,26,12,-3.5833333333333335,376.9166666666667,380.5
14,150.0,21,8,-77.25,386.125,463.375
14,200.0,10,8,-44.875,370.5,415.375
14,250.0,3,2,-21.5,318.5,340.0
16,0.0,12,4,-36.0,387.25,423.25
16,50.0,21,3,98.66666666666667,356.3333333333333,257.6666666666667
16,100.0,31,15,-39.46666666666667,310.46666666666664,349.93333333333334
16,150.0,25,11,-22.181818181818183,353.8181818181818,376.0
16,200.0,14,6,-3.0,325.3333333333333,328.3333333333333
16,250.0,6,4,-42.0,367.25,409.25
17,0.0,6,2,42.5,449.0,406.5
17,50.0,15,3,31.0,484.0,453.0
17,100.0,24,10,18.0,405.2,387.2
17,150.0,27,10,30.5,467.6,437.1
17,200.0,28,11,4.454545454545454,401.1818181818182,396.72727272727275
17,250.0,15,11,-40.54545454545455,410.09090909090907,450.6363636363636
18,50.0,20,5,0.0,399.6,399.6
18,100.0,36,11,-37.63636363636363,346.8181818181818,384.45454545454544
18,150.0,33,17,-6.0,374.6470588235294,380.6470588235294
18,200.0,15,9,-3.4444444444444446,396.0,399.44444444444446
18,250.0,4,2,-47.0,389.5,436.5
2,100.0,33,6,-73.0,296.6666666666667,369.6666666666667
2,150.0,47,22,-27.0,330.72727272727275,357.72727272727275
2,200.0,24,17,-0.5882352941176471,357.05882352941177,357.6470588235294
2,250.0,3,2,32.0,423.5,391.5
20,0.0,8,4,-29.5,323.75,353.25
20,50.0,16,2,-5.5,435.5,441.0
20,100.0,31,10,-43.0,372.8,415.8
20,150.0,34,17,20.705882352941178,434.52941176470586,413.8235294117647
20,200.0,19,11,-45.54545454545455,358.0,403.54545454545456
20,250.0,6,3,-42.333333333333336,355.6666666666667,398.0
20,300.0,2,2,58.5,518.5,460.0
21,100.0,33,8,-25.375,394.125,419.5
21,150.0,42,18,-36.111111111111114,344.8888888888889,381.0
21,200.0,25,17,-41.588235294117645,368.3529411764706,409.94117647058823
21,250.0,7,4,-12.25,383.75,396.0
23,50.0,16,5,71.2,432.0,360.8
23,100.0,37,9,-8.0,386.3333333333333,394.3333333333333
23,150.0,36,23,-18.0,394.4347826086956,412.4347826086956
23,200.0,11,10,4.8,416.0,411.2
24,0.0,14,6,83.33333333333333,376.1666666666667,292.8333333333333
24,50.0,18,4,34.75,401.5,366.75
24,100.0,29,11,-19.272727272727273,319.3636363636364,338.6363636363636
24,150.0,24,14,2.357142857142857,349.57142857142856,347.2142857142857
24,200.0,10,8,6.875,351.625,344.75
24,250.0,3,2,-67.0,357.0,424.0
25,0.0,17,8,22.5,405.0,382.5
25,50.0,17,6,-5.5,416.6666666666667,422.1666666666667
25,100.0,21,10,46.7,415.0,368.3
25,150.0,15,9,-56.111111111111114,377.3333333333333,433.44444444444446
25,200.0,6,4,127.5,438.75,311.25
25,300.0,2,2,5.0,410.0,405.0
28,0.0,7,3,78.0,440.6666666666667,362.6666666666667
28,50.0,14,3,35.666666666666664,388.0,352.3333333333333
28,100.0,27,8,-45.625,409.0,454.625
28,150.0,30,15,-13.0,377.8666666666667,390.8666666666667
28,200.0,20,7,-50.142857142857146,356.14285714285717,406.2857142857143
28,250.0,10,7,-41.42857142857143,343.14285714285717,384.57142857142856
28,300.0,5,2,57.0,443.5,386.5
3,0.0,15,6,-32.666666666666664,306.5,339.1666666666667
3,50.0,9,4,-10.0,328.5,338.5
3,100.0,20,5,6.4,385.2,378.8
3,150.0,21,10,30.5,388.0,357.5
3,200.0,8,3,-0.6666666666666666,359.0,359.6666666666667
3,250.0,3,2,-91.0,330.0,421.0
30,50.0,21,5,-45.6,298.4,344.0
30,100.0,37,12,-50.0,327.0833333333333,377.0833333333333
30,150.0,39,17,-20.0,374.0,394.0
30,200.0,17,13,-49.92307692307692,349.7692307692308,399.6923076923077
32,0.0,16,5,18.4,366.4,348.0
32,50.0,25,7,-18.0,352.0,370.0
32,100.0,29,13,-41.46153846153846,372.6923076923077,414.15384615384613
32,150.0,23,11,-31.272727272727273,361.54545454545456,392.8181818181818
32,200.0,14,7,5.428571428571429,357.42857142857144,352.0
32,250.0,5,3,-20.333333333333332,377.6666666666667,398.0
35,50.0,14,4,89.25,444.25,355.0
35,100.0,16,4,-39.25,384.0,423.25
35,150.0,18,9,-66.33333333333333,369.1111111111111,435.44444444444446
35,200.0,22,6,-45.5,401.6666666666667,447.1666666666667
35,250.0,19,9,70.66666666666667,494.6666666666667,424.0
35,300.0,11,6,-26.833333333333332,378.1666666666667,405.0
4,150.0,12,2,-144.0,344.5,488.5
4,200.0,20,5,-126.6,360.0,486.6
4,250.0,17,8,-118.25,412.625,530.875
4,300.0,18,5,-101.2,402.8,504.0
5,100.0,11,2,93.0,512.5,419.5
5,150.0,29,6,37.0,427.1666666666667,390.1666666666667
5,200.0,40,19,-13.947368421052632,428.89473684210526,442.8421052631579
5,250.0,26,19,-35.68421052631579,392.94736842105266,428.63157894736844
5,300.0,6,6,-54.5,397.3333333333333,451.8333333333333
6,150.0,17,4,-5.75,461.25,467.0
6,200.0,23,9,-67.55555555555556,397.1111111111111,464.6666666666667
6,250.0,27,8,-64.125,419.5,483.625
6,300.0,20,9,-57.666666666666664,433.0,490.6666666666667
8,50.0,11,2,26.5,630.0,603.5
8,100.0,25,6,17.666666666666668,476.6666666666667,459.0
8,150.0,31,14,14.857142857142858,395.2142857142857,380.35714285714283
8,200.0,26,12,-39.833333333333336,422.1666666666667,462.0
8,250.0,16,8,-9.125,444.875,454.0
8,300.0,5,2,-104.0,353.0,457.0
9,50.0,20,4,94.0,467.5,373.5
9,100.0,30,11,-103.18181818181819,310.27272727272725,413.45454545454544
9,150.0,34,14,-2.4285714285714284,383.92857142857144,386.35714285714283
9,200.0,20,12,-29.666666666666668,354.25,383.9166666666667
9,250.0,4,2,-419.5,316.5,736.0
