subject,ssd,nstoptrials,n_matched_go,mean_violation,mean_stopFailureRT,mean_precedingGoRT
1,100.0,48,4,-3.25,556.5,559.75
1,200.0,48,2,240.0,727.5,487.5
1,300.0,48,9,-81.77777777777777,436.6666666666667,518.4444444444445
1,400.0,48,29,-33.172413793103445,461.55172413793105,494.7241379310345
1,500.0,48,36,-6.055555555555555,489.02777777777777,495.0833333333333
10,100.0,48,5,-33.8,517.0,550.8
10,200.0,48,7,-30.571428571428573,489.7142857142857,520.2857142857143
10,300.0,48,19,-67.73684210526316,467.2631578947368,535.0
10,400.0,48,31,7.548387096774194,521.5806451612904,514.0322580645161
10,500.0,48,39,55.41025641025641,531.5641025641025,476.15384615384613
11,100.0,48,19,21.894736842105264,394.36842105263156,372.4736842105263
11,200.0,48,29,-6.9655172413793105,373.0344827586207,380.0
11,300.0,48,37,6.027027027027027,383.0,376.97297297297297
11,400.0,48,42,-11.452380952380953,365.8333333333333,377.2857142857143
11,500.0,48,42,-0.9285714285714286,369.14285714285717,370.07142857142856
12,100.0,48,6,-68.0,409.3333333333333,477.3333333333333
12,200.0,48,8,-13.5,447.375,460.875
12,300.0,48,30,-13.333333333333334,443.76666666666665,457.1
12,400.0,48,29,-58.0,436.2068965517241,494.2068965517241
12,500.0,48,43,-16.627906976744185,466.4186046511628,483.04651162790697
13,200.0,48,10,-56.9,365.8,422.7
13,300.0,48,28,-18.392857142857142,405.57142857142856,423.9642857142857
13,400.0,48,36,-28.416666666666668,421.69444444444446,450.1111111111111
13,500.0,48,35,-11.742857142857142,460.37142857142857,472.1142857142857
14,100.0,48,6,39.833333333333336,544.6666666666666,504.8333333333333
14,200.0,48,11,103.27272727272727,598.1818181818181,494.90909090909093
14,300.0,48,28,-47.607142857142854,455.9642857142857,503.57142857142856
14,400.0,48,33,21.515151515151516,493.5151515151515,472.0
14,500.0,48,40,32.35,502.1,469.75
15,300.0,48,3,142.66666666666666,809.3333333333334,666.6666666666666
15,400.0,48,12,-67.41666666666667,542.8333333333334,610.25
15,500.0,48,31,-52.61290322580645,611.4193548387096,664.0322580645161
16,100.0,48,19,-28.526315789473685,387.2105263157895,415.7368421052632
16,200.0,48,32,-28.46875,377.4375,405.90625
16,300.0,48,37,-39.7027027027027,399.72972972972974,439.43243243243245
16,400.0,48,37,32.513513513513516,439.0,406.4864864864865
16,500.0,48,34,6.323529411764706,406.20588235294116,399.88235294117646
17,100.0,48,20,-40.3,499.65,539.95
17,200.0,48,26,6.8076923076923075,565.4230769230769,558.6153846153846
17,300.0,48,25,-19.56,517.48,537.04
17,400.0,48,31,-31.548387096774192,548.2903225806451,579.8387096774194
17,500.0,48,38,-3.9473684210526314,550.8947368421053,554.8421052631579
18,100.0,48,18,26.555555555555557,544.5,517.9444444444445
18,200.0,48,16,3.75,535.875,532.125
18,300.0,48,25,-143.2,451.92,595.12
18,400.0,48,24,-16.583333333333332,491.375,507.9583333333333
18,500.0,48,34,23.558823529411764,514.2352941176471,490.6764705882353
19,100.0,48,3,92.33333333333333,535.3333333333334,443.0
19,200.0,48,12,1.4166666666666667,452.0833333333333,450.6666666666667
19,300.0,48,23,-18.347826086956523,429.5217391304348,447.8695652173913
19,400.0,48,35,-1.4,467.7142857142857,469.1142857142857
19,500.0,48,42,-12.547619047619047,472.0238095238095,484.57142857142856
2,100.0,48,9,79.0,485.55555555555554,406.55555555555554
2,200.0,48,27,-6.962962962962963,411.9259259259259,418.8888888888889
2,300.0,48,32,-35.0625,408.53125,443.59375
2,400.0,48,38,14.131578947368421,456.7894736842105,442.6578947368421
2,500.0,48,41,9.951219512195122,435.0,425.0487804878049
20,100.0,48,5,41.6,443.4,401.8
20,200.0,48,8,7.875,418.25,410.375
20,300.0,48,27,-47.2962962962963,426.44444444444446,473.74074074074076
20,400.0,48,36,-27.166666666666668,473.3333333333333,500.5
20,500.0,48,34,-38.88235294117647,479.61764705882354,518.5
21,100.0,48,13,-97.61538461538461,399.46153846153845,497.0769230769231
21,200.0,48,26,-71.61538461538461,402.65384615384613,474.2692307692308
21,300.0,48,28,-30.214285714285715,414.5,444.7142857142857
21,400.0,48,35,-10.914285714285715,463.7142857142857,474.62857142857143
21,500.0,48,37,-44.83783783783784,441.97297297297297,486.81081081081084
22,100.0,48,8,54.375,432.75,378.375
22,200.0,48,28,2.7142857142857144,361.75,359.0357142857143
22,300.0,48,36,-31.666666666666668,351.8888888888889,383.55555555555554
22,400.0,48,36,-13.805555555555555,383.97222222222223,397.77777777777777
22,500.0,48,38,-1.894736842105263,394.63157894736844,396.5263157894737
23,100.0,48,17,3.5294117647058822,462.4117647058824,458.88235294117646
23,200.0,48,19,-38.0,446.8421052631579,484.8421052631579
23,300.0,48,33,-65.84848484848484,444.8484848484849,510.6969696969697
23,400.0,48,28,-27.285714285714285,452.4642857142857,479.75
23,500.0,48,39,-17.71794871794872,465.53846153846155,483.2564102564103
24,100.0,48,11,-9.727272727272727,493.90909090909093,503.6363636363636
24,200.0,48,17,-15.411764705882353,448.6470588235294,464.05882352941177
24,300.0,48,32,-11.46875,452.21875,463.6875
24,400.0,48,33,25.0,465.42424242424244,440.42424242424244
24,500.0,48,39,-19.076923076923077,463.43589743589746,482.5128205128205
3,100.0,48,11,18.454545454545453,542.4545454545455,524.0
3,200.0,48,13,-3.230769230769231,524.5384615384615,527.7692307692307
3,300.0,48,25,-28.24,506.96,535.2
3,400.0,48,33,-81.78787878787878,441.030303030303,522.8181818181819
3,500.0,48,38,4.973684210526316,491.44736842105266,486.4736842105263
4,100.0,48,8,33.5,507.75,474.25
4,200.0,48,8,51.625,519.75,468.125
4,300.0,48,23,0.9565217391304348,489.2608695652174,488.30434782608694
4,400.0,48,35,-22.714285714285715,477.85714285714283,500.57142857142856
4,500.0,48,38,-23.92105263157895,486.9736842105263,510.89473684210526
5,100.0,48,3,25.0,432.6666666666667,407.6666666666667
5,200.0,48,3,-45.333333333333336,426.6666666666667,472.0
5,300.0,48,18,-105.11111111111111,489.1111111111111,594.2222222222222
5,400.0,48,35,-21.428571428571427,534.2857142857143,555.7142857142857
5,500.0,48,34,-51.38235294117647,525.7352941176471,577.1176470588235
6,100.0,48,26,9.807692307692308,430.4230769230769,420.61538461538464
6,200.0,48,33,-4.878787878787879,415.90909090909093,420.7878787878788
6,300.0,48,33,-0.7575757575757576,442.2121212121212,442.969696969697
6,400.0,48,41,-26.4390243902439,428.4634146341463,454.9024390243902
6,500.0,48,39,-10.615384615384615,406.61538461538464,417.2307692307692
7,100.0,48,10,48.3,516.2,467.9
7,200.0,48,6,27.166666666666668,514.3333333333334,487.1666666666667
7,300.0,48,19,-49.94736842105263,459.42105263157896,509.36842105263156
7,400.0,48,32,-43.25,482.15625,525.40625
7,500.0,48,36,-31.805555555555557,520.4444444444445,552.25
8,100.0,48,7,-0.8571428571428571,421.85714285714283,422.7142857142857
8,200.0,48,20,-15.3,433.65,448.95
8,300.0,48,30,14.133333333333333,449.8,435.6666666666667
8,400.0,48,35,-3.0285714285714285,451.14285714285717,454.1714285714286
8,500.0,48,40,-20.575,438.325,458.9
9,100.0,48,3,-40.0,557.3333333333334,597.3333333333334
9,200.0,48,4,-199.0,391.5,590.5
9,300.0,48,18,7.722222222222222,490.8888888888889,483.1666666666667
9,400.0,48,26,-63.30769230769231,453.5,516.8076923076923
9,500.0,48,33,-26.424242424242426,522.060606060606,548.4848484848485
