subject,ssd,nstoptrials,n_matched_go,mean_violation,mean_stopFailureRT,mean_precedingGoRT
1,267.0,5,2,-76.5,489.5,566.0
1,300.0,8,2,-537.5,487.5,1025.0
1,333.0,9,3,-192.0,440.0,632.0
1,367.0,10,3,-31.666666666666668,469.0,500.6666666666667
1,400.0,13,4,-103.0,558.25,661.25
1,433.0,16,5,-368.6,535.0,903.6
1,467.0,21,7,-212.0,535.2857142857143,747.2857142857143
1,500.0,22,10,-276.4,632.6,909.0
1,533.0,15,9,-303.8888888888889,607.4444444444445,911.3333333333334
1,567.0,12,5,-379.2,635.4,1014.6
1,600.0,7,5,-143.2,586.2,729.4
2,50.0,24,5,-148.8,1131.2,1280.0
2,800.0,18,6,-64.0,1060.1666666666667,1124.1666666666667
2,833.0,21,6,-331.0,953.5,1284.5
2,867.0,20,6,-167.0,974.6666666666666,1141.6666666666667
2,900.0,20,8,-106.25,1102.875,1209.125
2,967.0,5,2,244.5,1219.0,974.5
3,50.0,24,2,-104.5,401.5,506.0
3,167.0,24,7,-30.857142857142858,493.57142857142856,524.4285714285714
3,200.0,24,10,-14.8,478.6,493.4
3,233.0,22,8,-33.5,501.375,534.875
3,267.0,15,7,-27.142857142857142,499.85714285714283,527.0
3,300.0,4,3,26.666666666666668,539.0,512.3333333333334
3,367.0,11,2,-34.5,518.0,552.5
3,400.0,15,6,-95.33333333333333,629.3333333333334,724.6666666666666
3,433.0,9,5,-180.8,674.8,855.6
3,467.0,3,2,-129.0,621.0,750.0
4,967.0,4,2,-80.0,1102.0,1182.0
4,1033.0,7,2,-116.0,1240.0,1356.0
4,1100.0,14,4,-129.25,1140.5,1269.75
4,1200.0,17,11,-173.27272727272728,1285.4545454545455,1458.7272727272727
4,1300.0,4,3,-348.3333333333333,1354.3333333333333,1702.6666666666667
5,600.0,3,2,-261.0,985.5,1246.5
5,733.0,5,3,-320.0,908.3333333333334,1228.3333333333333
5,867.0,19,3,-301.3333333333333,981.3333333333334,1282.6666666666667
5,900.0,21,10,-234.3,980.3,1214.6
5,967.0,21,6,-162.66666666666666,1040.6666666666667,1203.3333333333333
5,1033.0,9,5,-54.4,1194.2,1248.6
