subject,ssd,nstoptrials,n_matched_go,mean_violation,mean_stopFailureRT,mean_precedingGoRT
1,50.0,28,11,11.181818181818182,202.0909090909091,190.9090909090909
1,100.0,25,14,-7.714285714285714,208.35714285714286,216.07142857142858
1,150.0,18,8,1.125,229.875,228.75
1,200.0,13,9,3.888888888888889,280.6666666666667,276.77777777777777
1,250.0,4,3,-36.666666666666664,295.3333333333333,332.0
2,50.0,18,7,4.0,167.0,163.0
2,100.0,26,9,-1.1111111111111112,148.77777777777777,149.88888888888889
2,150.0,27,13,21.0,170.23076923076923,149.23076923076923
2,200.0,14,10,-53.3,156.4,209.7
3,50.0,19,2,50.0,132.5,82.5
3,100.0,40,17,-21.41176470588235,159.2941176470588,180.7058823529412
3,150.0,39,21,-24.61904761904762,156.1904761904762,180.8095238095238
3,200.0,18,13,-13.23076923076923,185.30769230769232,198.53846153846155
3,250.0,2,2,-42.5,213.5,256.0
4,50.0,39,14,-19.428571428571427,186.57142857142858,206.0
4,100.0,35,20,6.95,185.55,178.6
4,150.0,13,8,-15.625,169.625,185.25
4,200.0,2,2,-32.0,102.5,134.5
5,50.0,11,6,-18.0,133.83333333333334,151.83333333333334
5,100.0,3,2,-5.5,106.0,111.5
6,100.0,24,2,45.0,204.0,159.0
6,150.0,52,20,-13.3,207.6,220.9
6,200.0,35,25,-13.76,199.6,213.36
6,250.0,5,3,-19.666666666666668,192.33333333333334,212.0
7,100.0,13,2,-18.5,210.0,228.5
7,150.0,31,10,-22.6,209.6,232.2
7,200.0,38,17,-56.8235294117647,236.94117647058823,293.7647058823529
7,250.0,26,10,-78.1,275.1,353.2
8,50.0,24,3,11.666666666666666,185.0,173.33333333333334
8,100.0,52,17,4.117647058823529,187.8235294117647,183.7058823529412
8,150.0,36,25,-19.2,196.44,215.64
8,200.0,4,3,7.0,182.0,175.0
9,50.0,13,2,8.0,161.5,153.5
9,100.0,35,10,2.1,188.6,186.5
9,150.0,46,23,-55.78260869565217,173.2608695652174,229.04347826086956
9,200.0,23,20,-43.35,190.75,234.1
10,150.0,40,11,0.0,227.0909090909091,227.0909090909091
10,200.0,41,26,-10.115384615384615,239.3846153846154,249.5
10,250.0,19,10,-30.0,253.0,283.0
11,50.0,13,3,-171.33333333333334,203.66666666666666,375.0
11,100.0,25,10,6.4,232.4,226.0
11,150.0,34,12,-31.5,202.0,233.5
11,200.0,30,17,-7.9411764705882355,225.8235294117647,233.76470588235293
11,250.0,12,10,-40.0,214.7,254.7
