subject,ssd,nstoptrials,n_matched_go,mean_violation,mean_stopFailureRT,mean_precedingGoRT
1,100.0,9,2,-32.5,290.0,322.5
1,150.0,23,3,-52.333333333333336,361.0,413.3333333333333
1,200.0,62,11,-42.18181818181818,442.45454545454544,484.6363636363636
1,250.0,122,36,-31.194444444444443,447.0833333333333,478.27777777777777
1,300.0,138,44,-93.22727272727273,454.84090909090907,548.0681818181819
1,350.0,88,36,-57.5,444.3888888888889,501.8888888888889
1,400.0,31,19,-54.1578947368421,504.8421052631579,559.0
1,450.0,5,4,-10.75,464.0,474.75
10,150.0,64,10,29.7,446.6,416.9
10,200.0,126,36,-10.88888888888889,439.1666666666667,450.05555555555554
10,250.0,149,57,3.0,426.94736842105266,423.94736842105266
10,300.0,93,51,-42.470588235294116,424.6862745098039,467.15686274509807
10,350.0,25,19,15.789473684210526,491.1578947368421,475.36842105263156
10,400.0,4,4,-40.5,464.25,504.75
11,100.0,3,2,486.5,1166.0,679.5
11,250.0,30,8,98.375,740.25,641.875
11,300.0,57,14,-40.214285714285715,632.5714285714286,672.7857142857143
11,350.0,74,24,1.7083333333333333,717.2083333333334,715.5
11,400.0,72,26,-31.423076923076923,604.5,635.9230769230769
11,450.0,67,20,17.2,685.25,668.05
11,500.0,55,19,-82.42105263157895,661.4736842105264,743.8947368421053
11,550.0,39,15,6.2,691.0666666666667,684.8666666666667
11,600.0,26,11,-124.27272727272727,732.7272727272727,857.0
12,300.0,14,2,-65.0,405.5,470.5
12,350.0,30,8,-87.25,465.875,553.125
12,400.0,51,14,-51.285714285714285,522.5,573.7857142857143
12,450.0,71,22,-84.22727272727273,533.9090909090909,618.1363636363636
12,500.0,64,23,-50.56521739130435,596.1304347826087,646.695652173913
12,550.0,43,16,-64.0625,611.125,675.1875
12,600.0,32,11,-192.0909090909091,606.7272727272727,798.8181818181819
13,150.0,39,7,52.285714285714285,541.2857142857143,489.0
13,200.0,90,23,-47.52173913043478,400.9130434782609,448.4347826086956
13,250.0,129,46,-39.56521739130435,432.6521739130435,472.2173913043478
13,300.0,109,45,-79.53333333333333,416.0,495.53333333333336
13,350.0,58,22,-54.63636363636363,425.5,480.1363636363636
13,400.0,28,12,-138.16666666666666,457.5833333333333,595.75
13,450.0,13,4,2.25,446.0,443.75
13,500.0,2,2,2.5,443.5,441.0
14,50.0,35,10,-6.5,443.1,449.6
14,100.0,55,19,19.36842105263158,437.2631578947368,417.89473684210526
14,150.0,77,21,-52.76190476190476,385.7142857142857,438.4761904761905
14,200.0,81,29,-16.482758620689655,411.0,427.48275862068965
14,250.0,48,26,-3.6153846153846154,417.65384615384613,421.2692307692308
14,300.0,11,7,-15.571428571428571,382.57142857142856,398.14285714285717
15,200.0,23,2,31.0,415.5,384.5
15,250.0,73,14,-22.0,469.64285714285717,491.64285714285717
15,300.0,131,37,-62.86486486486486,440.8918918918919,503.7567567567568
15,350.0,136,58,-41.758620689655174,464.32758620689657,506.08620689655174
15,400.0,84,33,-46.93939393939394,475.3333333333333,522.2727272727273
15,450.0,29,16,-65.75,503.0,568.75
15,500.0,2,2,-51.0,496.0,547.0
16,150.0,15,3,63.333333333333336,534.3333333333334,471.0
16,200.0,40,8,25.125,522.125,497.0
16,250.0,115,18,-45.77777777777778,473.72222222222223,519.5
16,300.0,157,60,-33.3,495.78333333333336,529.0833333333334
16,350.0,100,56,-27.821428571428573,502.23214285714283,530.0535714285714
16,400.0,31,20,-154.05,489.75,643.8
16,450.0,5,2,21.0,474.5,453.5
16,500.0,2,2,78.0,559.5,481.5
17,300.0,18,4,11.25,545.5,534.25
17,350.0,30,9,-147.0,466.1111111111111,613.1111111111111
17,400.0,32,13,15.692307692307692,585.3846153846154,569.6923076923077
17,450.0,45,10,-1.1,576.9,578.0
17,500.0,60,14,-67.64285714285714,638.2142857142857,705.8571428571429
17,550.0,82,23,-57.869565217391305,660.7826086956521,718.6521739130435
17,600.0,94,32,-91.8125,691.84375,783.65625
18,50.0,140,46,-13.41304347826087,321.1521739130435,334.5652173913044
18,100.0,98,45,-12.422222222222222,320.06666666666666,332.4888888888889
18,150.0,30,19,1.631578947368421,331.7894736842105,330.1578947368421
18,200.0,4,3,-27.0,333.0,360.0
19,150.0,14,2,-1.0,345.0,346.0
19,200.0,44,7,-58.857142857142854,354.7142857142857,413.57142857142856
19,250.0,86,23,-74.65217391304348,417.0869565217391,491.7391304347826
19,300.0,103,39,6.358974358974359,464.8974358974359,458.53846153846155
19,350.0,87,32,-79.6875,434.71875,514.40625
19,400.0,57,28,-29.964285714285715,485.0357142857143,515.0
19,450.0,37,13,-155.30769230769232,472.53846153846155,627.8461538461538
19,500.0,30,11,-157.45454545454547,516.7272727272727,674.1818181818181
19,550.0,16,10,-76.4,611.6,688.0
2,200.0,13,2,-105.0,421.5,526.5
2,250.0,62,8,-54.25,439.875,494.125
2,300.0,139,34,-53.61764705882353,450.1470588235294,503.7647058823529
2,350.0,148,67,-70.01492537313433,475.3731343283582,545.3880597014926
2,400.0,82,43,-44.627906976744185,484.4418604651163,529.0697674418604
2,450.0,28,14,-55.357142857142854,499.2142857142857,554.5714285714286
2,500.0,6,5,-74.8,463.0,537.8
20,150.0,81,10,22.9,438.3,415.4
20,200.0,162,47,-33.234042553191486,398.70212765957444,431.93617021276594
20,250.0,145,69,-41.01449275362319,399.0,440.0144927536232
20,300.0,60,31,-53.0,419.48387096774195,472.48387096774195
20,350.0,12,4,2.5,398.5,396.0
21,150.0,29,4,82.0,493.75,411.75
21,200.0,76,15,-24.333333333333332,368.93333333333334,393.26666666666665
21,250.0,127,37,-36.4054054054054,404.4054054054054,440.81081081081084
21,300.0,121,50,-34.06,424.8,458.86
21,350.0,69,28,-35.964285714285715,452.85714285714283,488.82142857142856
