subject,ssd,nstoptrials,n_matched_go,mean_violation,mean_stopFailureRT,mean_precedingGoRT
1,150.0,15,2,-194.5,447.5,642.0
1,200.0,61,6,-158.83333333333334,377.8333333333333,536.6666666666666
1,250.0,88,41,-63.390243902439025,416.1219512195122,479.5121951219512
1,300.0,51,32,-21.9375,452.9375,474.875
1,350.0,17,11,3.6363636363636362,460.0,456.3636363636364
1,400.0,5,5,-20.6,489.6,510.2
10,200.0,28,5,-29.4,531.2,560.6
10,250.0,53,17,-25.58823529411765,474.70588235294116,500.29411764705884
10,300.0,69,23,-6.0,492.7391304347826,498.7391304347826
10,350.0,57,29,5.413793103448276,500.1034482758621,494.6896551724138
10,400.0,23,17,18.058823529411764,514.0588235294117,496.0
10,450.0,4,3,-72.0,542.6666666666666,614.6666666666666
11,50.0,6,2,383.5,908.0,524.5
11,100.0,8,2,127.5,636.5,509.0
11,150.0,20,3,-219.0,646.0,865.0
11,200.0,41,13,128.0,732.6153846153846,604.6153846153846
11,250.0,49,22,15.909090909090908,611.2272727272727,595.3181818181819
11,300.0,52,20,80.35,744.95,664.6
11,350.0,40,23,-29.391304347826086,649.304347826087,678.695652173913
11,400.0,15,9,-17.666666666666668,538.4444444444445,556.1111111111111
11,450.0,5,3,157.66666666666666,721.3333333333334,563.6666666666666
12,300.0,45,8,-124.0,504.625,628.625
12,350.0,75,31,-33.903225806451616,532.8064516129032,566.7096774193549
12,400.0,65,33,-43.63636363636363,528.5757575757576,572.2121212121212
12,450.0,33,24,-73.875,503.5833333333333,577.4583333333334
13,100.0,42,6,38.833333333333336,375.3333333333333,336.5
13,150.0,72,30,-31.4,337.6,369.0
13,200.0,71,33,4.9393939393939394,370.1212121212121,365.1818181818182
13,250.0,40,24,5.583333333333333,397.2916666666667,391.7083333333333
13,300.0,5,2,-136.5,334.0,470.5
14,50.0,11,4,1.0,432.5,431.5
14,100.0,29,6,6.166666666666667,445.1666666666667,439.0
14,150.0,60,22,39.59090909090909,449.0,409.40909090909093
14,200.0,67,33,-5.545454545454546,441.1212121212121,446.6666666666667
14,250.0,44,26,-9.807692307692308,437.03846153846155,446.84615384615387
14,300.0,17,14,-29.285714285714285,424.85714285714283,454.14285714285717
14,350.0,4,2,29.0,469.0,440.0
15,100.0,17,4,-14.5,509.5,524.0
15,150.0,48,8,20.25,456.75,436.5
15,200.0,78,32,-21.34375,366.03125,387.375
15,250.0,60,38,-27.789473684210527,374.60526315789474,402.39473684210526
15,300.0,23,17,12.647058823529411,396.05882352941177,383.4117647058824
15,350.0,5,4,-1.5,451.0,452.5
16,100.0,10,5,65.4,554.0,488.6
16,150.0,14,3,71.0,670.6666666666666,599.6666666666666
16,200.0,27,8,-0.5,586.125,586.625
16,250.0,54,15,76.86666666666666,614.2,537.3333333333334
16,300.0,61,32,-34.78125,525.71875,560.5
16,350.0,43,21,7.714285714285714,535.5238095238095,527.8095238095239
16,400.0,21,15,6.2,557.8666666666667,551.6666666666666
16,450.0,4,3,-27.0,561.0,588.0
17,0.0,18,7,6.714285714285714,495.0,488.2857142857143
17,50.0,25,8,45.375,546.75,501.375
17,100.0,31,12,109.25,569.5,460.25
17,150.0,34,12,54.833333333333336,493.6666666666667,438.8333333333333
17,200.0,39,18,-46.77777777777778,437.0,483.77777777777777
17,250.0,30,16,27.1875,471.5625,444.375
17,300.0,15,8,-11.75,471.75,483.5
17,350.0,6,4,-9.5,448.25,457.75
18,0.0,33,7,-6.428571428571429,354.0,360.42857142857144
18,50.0,66,24,-35.083333333333336,298.75,333.8333333333333
18,100.0,74,35,5.714285714285714,341.2,335.48571428571427
18,150.0,39,27,-35.074074074074076,309.51851851851853,344.5925925925926
18,200.0,9,7,0.42857142857142855,330.42857142857144,330.0
19,100.0,20,3,-11.333333333333334,349.0,360.3333333333333
19,150.0,52,15,-44.333333333333336,377.8666666666667,422.2
19,200.0,65,33,-39.54545454545455,402.06060606060606,441.6060606060606
19,250.0,51,25,-27.84,428.52,456.36
19,300.0,30,20,-74.2,391.55,465.75
19,350.0,10,8,57.0,496.25,439.25
2,150.0,12,3,47.0,620.6666666666666,573.6666666666666
