subject,ssd,nstoptrials,n_matched_go,mean_violation,mean_stopFailureRT,mean_precedingGoRT
9,400.0,20,3,-39.0,680.3333333333334,719.3333333333334
9,450.0,14,2,295.5,922.5,627.0
11,350.0,10,3,-31.666666666666668,443.3333333333333,475.0
12,200.0,14,3,-112.0,518.0,630.0
12,250.0,14,2,-147.5,587.0,734.5
12,300.0,10,2,-124.5,402.5,527.0
12,350.0,8,3,-187.33333333333334,458.6666666666667,646.0
13,200.0,14,3,-4.666666666666667,504.6666666666667,509.3333333333333
13,250.0,9,3,15.0,463.3333333333333,448.3333333333333
15,200.0,10,2,-27.5,547.0,574.5
15,250.0,15,2,-45.0,525.5,570.5
15,300.0,16,3,-55.0,504.6666666666667,559.6666666666666
15,350.0,8,2,-42.5,579.0,621.5
16,150.0,21,3,65.0,507.6666666666667,442.6666666666667
16,200.0,18,5,-81.4,429.8,511.2
17,300.0,9,2,-228.0,555.5,783.5
17,350.0,9,2,-59.0,504.5,563.5
17,450.0,11,2,-25.0,550.5,575.5
19,300.0,20,5,-25.0,483.0,508.0
19,350.0,11,2,-52.0,570.5,622.5
20,300.0,12,2,-93.0,449.0,542.0
20,350.0,16,2,-21.5,614.0,635.5
20,400.0,16,4,-85.5,518.25,603.75
23,200.0,15,3,101.66666666666667,713.3333333333334,611.6666666666666
23,250.0,12,2,58.5,638.0,579.5
25,200.0,10,2,188.0,681.0,493.0
25,300.0,13,3,118.66666666666667,641.0,522.3333333333334
25,350.0,9,2,39.5,513.0,473.5
28,300.0,15,2,-31.5,625.0,656.5
28,350.0,7,4,3.25,581.0,577.75
30,350.0,11,2,-95.5,481.0,576.5
30,600.0,4,2,-309.0,404.5,713.5
31,200.0,13,2,152.0,723.0,571.0
32,200.0,8,2,233.0,674.5,441.5
32,250.0,8,3,35.333333333333336,577.6666666666666,542.3333333333334
32,350.0,12,3,-62.0,553.0,615.0
32,450.0,3,3,12.666666666666666,558.3333333333334,545.6666666666666
33,250.0,9,3,-237.0,593.0,830.0
33,400.0,7,2,-172.5,644.0,816.5
35,300.0,12,2,91.5,607.5,516.0
35,350.0,7,2,-328.0,654.5,982.5
36,350.0,5,2,87.5,544.5,457.0
37,350.0,13,2,-144.5,487.0,631.5
38,150.0,11,3,4.0,499.0,495.0
38,250.0,13,4,15.0,451.5,436.5
38,300.0,5,2,-4.0,543.5,547.5
39,0.0,4,2,-10.5,483.5,494.0
39,150.0,18,3,142.66666666666666,612.0,469.3333333333333
39,250.0,7,4,39.75,551.75,512.0
40,350.0,17,5,-35.6,508.6,544.2
41,450.0,6,3,-52.0,519.0,571.0
42,250.0,11,2,30.5,515.0,484.5
43,500.0,10,2,106.0,734.0,628.0
44,550.0,12,2,-4.5,623.0,627.5
44,600.0,11,3,-26.333333333333332,751.3333333333334,777.6666666666666
46,200.0,13,2,294.0,740.5,446.5
46,300.0,12,3,-6.333333333333333,811.0,817.3333333333334
47,500.0,13,2,48.0,856.5,808.5
48,250.0,17,3,100.33333333333333,585.6666666666666,485.3333333333333
48,300.0,14,4,-117.25,442.75,560.0
49,400.0,14,3,65.33333333333333,661.6666666666666,596.3333333333334
49,450.0,14,2,-77.5,497.5,575.0
51,300.0,23,4,-116.5,468.25,584.75
51,350.0,13,5,-19.8,534.0,553.8
52,300.0,19,4,-52.25,631.0,683.25
52,350.0,16,5,-148.8,523.4,672.2
53,250.0,20,6,-46.0,556.5,602.5
53,300.0,8,2,-134.5,583.0,717.5
54,300.0,12,2,-103.5,465.5,569.0
54,350.0,12,2,-1.5,467.5,469.0
54,400.0,8,2,-169.0,525.5,694.5
55,350.0,7,2,197.0,880.5,683.5
58,200.0,19,2,122.0,598.0,476.0
58,250.0,11,2,108.5,664.5,556.0
58,300.0,6,3,-27.333333333333332,482.3333333333333,509.6666666666667
59,150.0,14,3,34.666666666666664,617.6666666666666,583.0
59,200.0,16,4,2.25,554.75,552.5
60,200.0,15,4,143.5,670.0,526.5
60,250.0,6,3,-24.0,476.3333333333333,500.3333333333333
62,200.0,15,2,-124.0,372.5,496.5
62,250.0,20,4,-11.5,491.0,502.5
62,300.0,13,4,11.5,458.25,446.75
63,150.0,16,4,-0.25,507.0,507.25
63,200.0,16,2,-42.5,484.5,527.0
63,250.0,11,4,-88.25,474.5,562.75
64,400.0,17,3,74.0,727.6666666666666,653.6666666666666
66,0.0,6,2,172.0,760.5,588.5
66,350.0,15,4,16.5,709.5,693.0
71,500.0,10,3,-97.66666666666667,674.0,771.6666666666666
71,550.0,10,2,-53.0,768.0,821.0
76,150.0,8,2,7.5,536.0,528.5
76,200.0,8,3,-195.0,433.6666666666667,628.6666666666666
76,250.0,6,2,-20.0,515.5,535.5
76,450.0,6,2,-126.5,639.0,765.5
80,50.0,14,2,46.0,515.5,469.5
80,100.0,16,4,156.75,615.75,459.0
80,150.0,10,2,367.0,839.0,472.0
80,250.0,2,2,61.5,535.0,473.5
81,300.0,12,2,5.5,479.0,473.5
82,350.0,13,3,-107.66666666666667,557.6666666666666,665.3333333333334
82,400.0,20,4,-34.25,599.75,634.0
85,450.0,10,2,-299.0,594.5,893.5
85,600.0,10,4,-161.0,678.5,839.5
87,300.0,18,4,22.0,643.0,621.0
87,450.0,5,2,-109.0,659.5,768.5
88,300.0,9,2,42.5,680.5,638.0
88,400.0,12,3,-232.0,516.3333333333334,748.3333333333334
88,450.0,5,3,-184.33333333333334,506.3333333333333,690.6666666666666
89,250.0,13,2,-99.0,472.0,571.0
89,300.0,11,4,22.25,547.25,525.0
