subject,ssd,nstoptrials,n_matched_go,mean_violation,mean_stopFailureRT,mean_precedingGoRT
4,500.0,38,9,-51.0,659.4444444444445,710.4444444444445
4,550.0,38,21,-28.666666666666668,721.5714285714286,750.2380952380952
4,600.0,19,4,-97.25,682.5,779.75
4,650.0,5,4,-106.25,732.25,838.5
5,300.0,26,4,-35.5,542.0,577.5
5,350.0,40,11,-110.36363636363636,525.3636363636364,635.7272727272727
5,400.0,27,13,-24.923076923076923,607.6153846153846,632.5384615384615
5,450.0,8,3,12.333333333333334,529.3333333333334,517.0
9,450.0,28,6,-54.5,556.8333333333334,611.3333333333334
9,500.0,25,6,-8.666666666666666,633.0,641.6666666666666
9,550.0,20,10,14.8,615.1,600.3
9,600.0,13,5,-93.0,630.0,723.0
9,650.0,5,3,-68.33333333333333,657.3333333333334,725.6666666666666
11,300.0,26,5,-74.4,494.8,569.2
11,350.0,28,9,-49.0,529.6666666666666,578.6666666666666
11,400.0,27,8,-56.0,532.0,588.0
11,450.0,18,9,-69.22222222222223,545.0,614.2222222222222
11,500.0,7,3,-79.33333333333333,547.0,626.3333333333334
12,150.0,9,2,-97.0,459.0,556.0
12,250.0,19,7,-98.42857142857143,451.42857142857144,549.8571428571429
12,300.0,22,9,-70.0,517.3333333333334,587.3333333333334
12,350.0,17,8,-138.0,532.375,670.375
12,400.0,10,2,-121.0,466.5,587.5
12,450.0,10,3,-83.33333333333333,449.6666666666667,533.0
12,500.0,8,3,108.33333333333333,655.0,546.6666666666666
12,550.0,4,3,-113.66666666666667,594.0,707.6666666666666
13,200.0,17,2,-87.0,440.0,527.0
13,250.0,39,8,-91.625,431.25,522.875
13,300.0,39,19,-22.526315789473685,508.89473684210526,531.421052631579
13,350.0,19,8,-2.125,542.25,544.375
13,400.0,4,2,14.0,540.0,526.0
15,250.0,32,9,-79.44444444444444,442.8888888888889,522.3333333333334
15,300.0,37,13,-6.384615384615385,493.7692307692308,500.15384615384613
15,350.0,25,12,-75.5,491.75,567.25
15,400.0,10,5,15.4,538.2,522.8
16,150.0,15,2,14.5,474.5,460.0
16,200.0,42,9,-65.77777777777777,437.77777777777777,503.55555555555554
16,250.0,41,13,-13.692307692307692,514.5384615384615,528.2307692307693
16,300.0,15,10,-85.5,477.3,562.8
16,350.0,3,2,-94.0,582.0,676.0
17,300.0,15,3,85.0,574.6666666666666,489.6666666666667
17,350.0,23,3,-65.0,535.3333333333334,600.3333333333334
17,400.0,30,7,-50.857142857142854,558.4285714285714,609.2857142857143
17,450.0,25,10,-64.0,614.6,678.6
17,500.0,13,7,-26.571428571428573,654.7142857142857,681.2857142857143
17,550.0,5,4,-92.75,582.0,674.75
19,300.0,40,18,-65.5,480.5,546.0
19,350.0,24,10,-35.2,492.3,527.5
19,400.0,15,9,-74.0,510.0,584.0
19,450.0,3,2,82.5,522.0,439.5
20,250.0,14,3,-6.0,574.6666666666666,580.6666666666666
20,300.0,20,4,-135.5,544.5,680.0
