subject,ssd,nstoptrials,n_matched_go,mean_violation,mean_stopFailureRT,mean_precedingGoRT
4,350.0,11,4,-88.75,561.25,650.0
4,400.0,14,4,-127.75,531.5,659.25
4,450.0,16,7,23.571428571428573,617.8571428571429,594.2857142857143
4,500.0,9,6,-28.333333333333332,727.0,755.3333333333334
5,200.0,11,2,143.5,568.0,424.5
5,250.0,21,9,34.111111111111114,558.2222222222222,524.1111111111111
5,300.0,16,8,69.25,595.125,525.875
5,350.0,4,3,54.0,577.0,523.0
9,400.0,10,2,-119.0,471.5,590.5
9,450.0,12,4,-67.75,595.75,663.5
9,500.0,12,3,20.0,642.3333333333334,622.3333333333334
9,550.0,11,6,-119.33333333333333,611.0,730.3333333333334
9,600.0,5,2,9.5,758.0,748.5
11,250.0,25,11,-39.27272727272727,473.3636363636364,512.6363636363636
11,300.0,15,9,-17.666666666666668,491.6666666666667,509.3333333333333
11,350.0,4,3,-29.0,504.3333333333333,533.3333333333334
12,200.0,12,2,-25.0,539.5,564.5
12,250.0,23,10,-125.4,515.0,640.4
12,300.0,16,10,-20.8,483.7,504.5
12,350.0,5,3,-235.66666666666666,498.0,733.6666666666666
13,150.0,12,4,168.25,693.0,524.75
13,200.0,21,7,65.85714285714286,500.7142857142857,434.85714285714283
13,250.0,18,14,-34.642857142857146,476.14285714285717,510.7857142857143
13,300.0,4,3,-16.333333333333332,475.0,491.3333333333333
15,200.0,13,2,-55.5,494.5,550.0
15,250.0,21,10,-1.7,476.5,478.2
15,300.0,15,9,-70.77777777777777,474.22222222222223,545.0
15,350.0,5,4,28.75,508.5,479.75
16,100.0,16,4,-45.0,406.0,451.0
16,150.0,18,11,16.09090909090909,487.54545454545456,471.45454545454544
16,200.0,12,5,16.0,459.0,443.0
16,250.0,7,2,109.5,504.0,394.5
17,150.0,10,3,88.33333333333333,585.3333333333334,497.0
17,200.0,17,6,-34.666666666666664,482.3333333333333,517.0
17,250.0,17,7,-25.142857142857142,490.57142857142856,515.7142857142857
17,300.0,8,5,-1.4,529.8,531.2
19,200.0,27,9,13.333333333333334,470.77777777777777,457.44444444444446
19,250.0,14,8,104.0,543.875,439.875
20,100.0,5,2,-75.0,573.5,648.5
20,150.0,7,2,8.0,532.5,524.5
20,200.0,10,4,-12.5,615.25,627.75
20,250.0,13,5,-121.2,513.8,635.0
20,300.0,9,3,-77.33333333333333,533.0,610.3333333333334
20,350.0,5,2,-214.0,562.5,776.5
20,450.0,2,2,-77.0,620.5,697.5
23,300.0,18,6,-85.0,693.5,778.5
23,350.0,19,10,-116.1,634.3,750.4
23,400.0,11,6,-22.333333333333332,674.0,696.3333333333334
23,450.0,3,2,1.0,614.5,613.5
25,200.0,13,3,119.33333333333333,580.0,460.6666666666667
25,250.0,22,7,-25.0,518.1428571428571,543.1428571428571
25,300.0,17,11,-38.36363636363637,504.54545454545456,542.9090909090909
25,350.0,5,4,117.0,645.5,528.5
28,300.0,18,4,-125.75,573.0,698.75
28,350.0,22,10,-76.2,526.1,602.3
28,400.0,11,5,36.4,618.8,582.4
28,450.0,2,2,3.0,592.5,589.5
30,350.0,18,8,-89.625,508.625,598.25
30,400.0,19,7,-191.42857142857142,512.4285714285714,703.8571428571429
30,450.0,10,8,-29.25,569.625,598.875
31,250.0,25,5,-60.6,476.2,536.8
31,300.0,21,12,-16.416666666666668,515.5833333333334,532.0
31,350.0,5,3,46.666666666666664,578.3333333333334,531.6666666666666
32,350.0,17,6,3.5,541.6666666666666,538.1666666666666
32,400.0,19,7,-21.285714285714285,546.7142857142857,568.0
32,450.0,11,8,1.25,629.0,627.75
32,500.0,3,2,-36.5,651.0,687.5
33,400.0,23,7,-138.14285714285714,658.5714285714286,796.7142857142857
33,450.0,18,13,22.692307692307693,762.9230769230769,740.2307692307693
33,500.0,5,2,-103.0,643.0,746.0
35,50.0,4,2,336.0,792.5,456.5
35,100.0,7,2,43.5,502.0,458.5
35,150.0,9,5,25.4,511.2,485.8
35,200.0,12,4,40.0,563.25,523.25
35,250.0,12,6,-14.666666666666666,534.5,549.1666666666666
35,300.0,5,3,-56.666666666666664,526.0,582.6666666666666
35,450.0,3,2,-168.5,536.5,705.0
36,250.0,20,8,41.125,527.25,486.125
36,300.0,19,6,-72.66666666666667,503.1666666666667,575.8333333333334
36,350.0,10,8,-62.625,511.375,574.0
36,400.0,2,2,-255.0,671.0,926.0
37,200.0,21,7,-16.857142857142858,531.2857142857143,548.1428571428571
37,250.0,20,14,-4.785714285714286,541.3571428571429,546.1428571428571
37,300.0,6,4,55.75,592.5,536.75
38,100.0,7,3,-59.0,455.6666666666667,514.6666666666666
38,150.0,11,3,62.333333333333336,482.6666666666667,420.3333333333333
38,200.0,12,4,-51.0,396.5,447.5
38,250.0,10,5,-80.6,432.2,512.8
38,300.0,11,3,-79.33333333333333,448.0,527.3333333333334
38,350.0,6,6,-52.166666666666664,444.8333333333333,497.0
39,100.0,15,2,-32.0,554.5,586.5
39,150.0,24,12,52.583333333333336,514.75,462.1666666666667
39,200.0,15,9,0.1111111111111111,508.44444444444446,508.3333333333333
39,250.0,4,4,8.5,537.75,529.25
40,300.0,20,2,-95.0,485.0,580.0
40,350.0,20,14,-13.5,539.2857142857143,552.7857142857143
40,400.0,7,4,82.0,556.5,474.5
40,450.0,5,3,-28.666666666666668,516.0,544.6666666666666
40,500.0,2,2,-62.0,677.5,739.5
41,150.0,12,5,-1.0,488.0,489.0
41,200.0,20,6,-56.833333333333336,486.1666666666667,543.0
41,250.0,18,12,-8.25,504.0,512.25
41,300.0,5,5,-85.4,456.4,541.8
42,100.0,9,2,-41.0,426.0,467.0
42,150.0,21,7,21.714285714285715,506.85714285714283,485.14285714285717
42,200.0,21,11,-65.54545454545455,485.1818181818182,550.7272727272727
42,250.0,7,7,-24.0,463.2857142857143,487.2857142857143
43,350.0,11,4,-236.75,601.75,838.5
43,400.0,15,3,29.0,614.6666666666666,585.6666666666666
43,450.0,15,8,-72.75,574.625,647.375
43,500.0,6,5,-177.6,586.4,764.0
44,250.0,10,5,48.8,663.2,614.4
44,300.0,12,4,-78.25,645.25,723.5
44,350.0,15,7,-114.28571428571429,501.14285714285717,615.4285714285714
44,400.0,12,6,-165.33333333333334,534.6666666666666,700.0
44,450.0,5,4,52.0,676.75,624.75
46,200.0,15,4,8.5,600.0,591.5
46,250.0,18,9,-44.111111111111114,517.1111111111111,561.2222222222222
46,300.0,12,8,-159.0,568.125,727.125
46,350.0,5,3,-18.333333333333332,578.0,596.3333333333334
47,250.0,11,6,11.166666666666666,464.1666666666667,453.0
47,300.0,11,3,-177.0,496.3333333333333,673.3333333333334
47,350.0,12,5,-26.0,551.0,577.0
47,400.0,8,5,-122.4,542.4,664.8
47,450.0,5,3,-39.0,577.0,616.0
47,500.0,3,2,-101.0,662.5,763.5
48,150.0,19,2,71.0,453.0,382.0
48,200.0,22,8,-12.75,405.75,418.5
48,250.0,9,7,-4.142857142857143,423.0,427.14285714285717
49,150.0,6,3,-141.0,458.0,599.0
49,250.0,12,2,-34.0,522.5,556.5
