subject,ssd,nstoptrials,n_matched_go,mean_violation,mean_stopFailureRT,mean_precedingGoRT
4,200.0,4,3,115.0,669.3333333333334,554.3333333333334
4,450.0,8,2,92.0,728.0,636.0
4,500.0,14,4,-146.75,677.75,824.5
4,550.0,13,5,-60.6,713.4,774.0
4,600.0,6,2,-121.0,736.5,857.5
5,0.0,14,5,92.0,549.6,457.6
5,50.0,7,2,118.0,634.0,516.0
5,100.0,5,2,60.0,532.5,472.5
5,200.0,8,2,-94.5,514.0,608.5
5,250.0,9,4,-8.25,557.75,566.0
5,400.0,3,3,-72.66666666666667,606.6666666666666,679.3333333333334
9,400.0,10,2,16.5,637.5,621.0
9,450.0,8,3,-136.66666666666666,557.3333333333334,694.0
9,500.0,11,3,-133.0,668.3333333333334,801.3333333333334
9,550.0,15,4,9.5,691.25,681.75
9,600.0,7,5,-55.2,609.4,664.6
11,450.0,19,6,43.0,622.3333333333334,579.3333333333334
11,500.0,8,4,-228.75,589.25,818.0
11,550.0,4,2,-69.0,658.5,727.5
12,100.0,6,3,52.666666666666664,563.0,510.3333333333333
12,200.0,16,4,-383.0,442.25,825.25
12,250.0,13,5,31.2,526.2,495.0
12,300.0,8,4,-121.0,485.75,606.75
12,350.0,3,2,-128.5,437.0,565.5
13,200.0,12,4,65.75,562.0,496.25
13,250.0,14,5,-36.2,526.0,562.2
13,300.0,13,5,-52.6,463.2,515.8
13,350.0,8,2,29.5,561.0,531.5
13,400.0,3,2,-93.5,565.5,659.0
15,150.0,10,3,31.333333333333332,482.0,450.6666666666667
15,200.0,18,6,-48.833333333333336,518.5,567.3333333333334
15,250.0,17,8,-30.75,452.375,483.125
15,300.0,8,2,-1.5,514.0,515.5
15,350.0,2,2,54.5,594.5,540.0
16,150.0,14,5,12.2,518.2,506.0
16,200.0,15,5,34.6,610.8,576.2
16,250.0,11,3,-83.33333333333333,535.3333333333334,618.6666666666666
16,450.0,2,2,-18.0,624.5,642.5
17,250.0,3,2,-23.0,559.5,582.5
17,350.0,13,2,16.0,647.0,631.0
17,400.0,17,7,-49.42857142857143,602.5714285714286,652.0
17,450.0,12,6,-60.166666666666664,612.6666666666666,672.8333333333334
19,150.0,18,5,141.8,544.2,402.4
19,200.0,22,7,4.285714285714286,482.7142857142857,478.42857142857144
19,250.0,11,8,-17.625,451.375,469.0
20,250.0,8,2,-39.0,510.5,549.5
20,300.0,9,2,313.5,1031.5,718.0
20,350.0,10,2,-74.5,698.5,773.0
20,400.0,12,3,-60.333333333333336,547.3333333333334,607.6666666666666
20,450.0,9,5,-17.6,602.4,620.0
23,300.0,15,3,57.666666666666664,691.6666666666666,634.0
23,350.0,20,9,-5.333333333333333,605.2222222222222,610.5555555555555
23,400.0,14,7,-30.428571428571427,616.4285714285714,646.8571428571429
23,450.0,4,3,-80.66666666666667,656.0,736.6666666666666
25,100.0,18,5,108.0,560.0,452.0
25,150.0,15,7,9.857142857142858,519.5714285714286,509.7142857142857
25,200.0,9,3,-65.66666666666667,458.0,523.6666666666666
25,250.0,6,3,-3.0,425.6666666666667,428.6666666666667
28,350.0,20,7,-40.42857142857143,516.2857142857143,556.7142857142857
28,400.0,13,3,-10.333333333333334,557.0,567.3333333333334
28,450.0,6,2,-88.0,627.5,715.5
30,350.0,15,6,-1.6666666666666667,545.6666666666666,547.3333333333334
30,400.0,13,3,-241.33333333333334,487.3333333333333,728.6666666666666
30,450.0,12,6,-138.16666666666666,586.1666666666666,724.3333333333334
30,500.0,6,4,-109.5,581.25,690.75
31,150.0,4,2,82.5,603.0,520.5
31,200.0,9,2,32.5,463.0,430.5
31,250.0,19,4,63.5,567.0,503.5
31,300.0,17,7,52.714285714285715,567.5714285714286,514.8571428571429
31,350.0,7,2,-17.0,582.0,599.0
32,200.0,12,2,109.0,558.0,449.0
32,250.0,13,5,26.8,482.4,455.6
32,300.0,10,4,-8.0,489.25,497.25
32,350.0,6,3,8.0,517.3333333333334,509.3333333333333
33,400.0,15,3,-15.666666666666666,822.6666666666666,838.3333333333334
33,450.0,19,7,-56.714285714285715,714.2857142857143,771.0
33,500.0,12,8,-49.75,683.625,733.375
35,0.0,10,3,203.0,721.0,518.0
35,50.0,13,4,69.5,657.25,587.75
35,100.0,14,5,54.6,568.2,513.6
35,150.0,10,6,41.166666666666664,542.3333333333334,501.1666666666667
35,200.0,6,3,69.0,580.6666666666666,511.6666666666667
35,250.0,5,3,26.666666666666668,502.3333333333333,475.6666666666667
36,200.0,21,6,-84.0,498.3333333333333,582.3333333333334
36,250.0,17,7,-12.857142857142858,466.42857142857144,479.2857142857143
36,300.0,7,3,-53.333333333333336,516.0,569.3333333333334
37,100.0,5,3,-26.666666666666668,557.6666666666666,584.3333333333334
37,200.0,22,6,27.333333333333332,565.0,537.6666666666666
37,250.0,17,9,27.88888888888889,555.5555555555555,527.6666666666666
37,300.0,3,2,42.0,596.5,554.5
38,50.0,9,2,3.5,496.5,493.0
38,100.0,16,4,14.75,504.5,489.75
38,150.0,13,8,20.625,524.75,504.125
38,200.0,8,2,83.0,537.0,454.0
38,250.0,7,3,37.0,513.0,476.0
38,300.0,4,2,3.0,472.0,469.0
39,200.0,6,3,24.0,479.3333333333333,455.3333333333333
39,300.0,11,3,-52.0,483.6666666666667,535.6666666666666
39,350.0,7,3,57.666666666666664,518.3333333333334,460.6666666666667
39,450.0,4,2,-69.5,644.0,713.5
39,550.0,6,2,13.0,535.0,522.0
40,200.0,10,3,33.333333333333336,634.6666666666666,601.3333333333334
40,250.0,15,5,61.6,624.6,563.0
40,300.0,11,5,42.4,569.2,526.8
40,350.0,4,3,12.0,515.6666666666666,503.6666666666667
41,400.0,6,3,-33.333333333333336,514.6666666666666,548.0
41,450.0,8,2,-105.0,475.0,580.0
41,500.0,10,3,-179.0,563.3333333333334,742.3333333333334
41,550.0,11,4,-53.0,571.0,624.0
41,600.0,7,2,-137.0,605.5,742.5
42,150.0,15,2,206.0,649.0,443.0
42,200.0,20,8,14.125,605.125,591.0
42,250.0,13,6,-8.833333333333334,513.0,521.8333333333334
42,300.0,5,3,-13.0,540.3333333333334,553.3333333333334
43,150.0,11,3,-82.66666666666667,477.0,559.6666666666666
43,200.0,15,5,111.6,673.2,561.6
43,250.0,14,6,-154.66666666666666,513.0,667.6666666666666
43,300.0,8,2,93.5,680.0,586.5
44,250.0,5,2,-81.0,471.0,552.0
44,350.0,14,2,-135.5,542.0,677.5
44,400.0,12,6,1.1666666666666667,623.8333333333334,622.6666666666666
44,450.0,8,2,-64.0,608.0,672.0
44,500.0,7,2,-305.0,555.5,860.5
44,550.0,3,3,46.333333333333336,589.3333333333334,543.0
46,0.0,6,2,44.0,631.5,587.5
46,50.0,9,2,-44.0,580.5,624.5
46,100.0,9,5,139.0,631.8,492.8
46,150.0,9,4,11.75,606.5,594.75
46,200.0,10,3,190.33333333333334,776.3333333333334,586.0
46,250.0,9,3,213.66666666666666,791.3333333333334,577.6666666666666
46,300.0,6,3,-45.666666666666664,564.6666666666666,610.3333333333334
46,350.0,2,2,-8.5,658.5,667.0
47,350.0,13,3,-114.0,599.3333333333334,713.3333333333334
47,400.0,19,5,24.6,628.4,603.8
47,450.0,13,9,-23.333333333333332,633.4444444444445,656.7777777777778
47,500.0,3,2,-64.0,584.0,648.0
48,200.0,13,2,-14.5,504.5,519.0
48,250.0,22,4,-39.0,480.5,519.5
48,300.0,16,6,-7.666666666666667,434.8333333333333,442.5
48,350.0,4,2,-30.5,402.0,432.5
49,450.0,11,3,-176.66666666666666,584.3333333333334,761.0
49,500.0,10,2,-42.0,617.5,659.5
49,550.0,6,2,-61.5,588.5,650.0
51,200.0,10,2,149.5,614.0,464.5
51,250.0,16,3,70.33333333333333,576.0,505.6666666666667
51,300.0,11,5,-43.4,508.4,551.8
51,400.0,8,3,59.0,702.3333333333334,643.3333333333334
51,450.0,4,2,63.0,660.0,597.0
52,200.0,9,2,50.5,609.5,559.0
52,250.0,16,6,36.0,605.3333333333334,569.3333333333334
52,300.0,17,6,40.166666666666664,602.1666666666666,562.0
52,350.0,11,6,-38.833333333333336,530.5,569.3333333333334
53,250.0,11,2,-8.0,471.5,479.5
53,300.0,20,5,-116.0,509.8,625.8
53,350.0,17,7,-26.142857142857142,618.1428571428571,644.2857142857143
53,400.0,6,3,-82.33333333333333,600.0,682.3333333333334
54,300.0,10,2,98.5,664.0,565.5
54,350.0,14,2,-88.0,568.5,656.5
54,400.0,14,2,7.0,632.5,625.5
54,450.0,10,6,18.0,666.0,648.0
55,400.0,10,2,-342.0,566.0,908.0
55,450.0,14,2,-266.0,579.0,845.0
55,500.0,14,4,-125.0,645.0,770.0
55,550.0,9,2,-31.0,826.5,857.5
55,600.0,3,3,-79.33333333333333,681.0,760.3333333333334
56,300.0,11,2,98.5,642.0,543.5
56,350.0,16,8,19.5,656.5,637.0
56,400.0,13,6,-111.83333333333333,570.3333333333334,682.1666666666666
56,450.0,9,2,-14.5,633.0,647.5
58,450.0,15,4,-57.25,575.0,632.25
58,500.0,9,5,-84.8,638.0,722.8
58,550.0,7,2,279.0,968.0,689.0
58,650.0,5,3,-43.333333333333336,879.0,922.3333333333334
58,700.0,2,2,88.5,920.0,831.5
59,350.0,15,2,60.0,631.0,571.0
59,400.0,23,8,14.375,593.125,578.75
59,450.0,13,10,-21.8,603.6,625.4
59,500.0,2,2,-16.5,649.5,666.0
60,150.0,14,2,-46.5,494.0,540.5
60,200.0,19,5,78.0,593.0,515.0
60,250.0,13,9,-31.22222222222222,528.4444444444445,559.6666666666666
62,250.0,23,7,-89.71428571428571,466.0,555.7142857142857
62,300.0,15,8,-37.75,495.0,532.75
63,0.0,4,2,98.5,592.5,494.0
63,150.0,3,2,24.5,552.0,527.5
63,300.0,18,7,89.57142857142857,645.0,555.4285714285714
63,350.0,10,6,-71.16666666666667,542.3333333333334,613.5
64,250.0,7,2,15.0,650.0,635.0
64,300.0,15,4,-79.25,615.75,695.0
64,350.0,17,9,-48.77777777777778,556.1111111111111,604.8888888888889
64,400.0,9,5,-11.6,628.8,640.4
66,150.0,10,3,-69.0,503.3333333333333,572.3333333333334
66,200.0,17,7,13.714285714285714,558.8571428571429,545.1428571428571
66,250.0,16,8,-48.75,526.25,575.0
66,300.0,10,3,-93.0,510.3333333333333,603.3333333333334
66,350.0,4,4,13.0,551.0,538.0
71,400.0,13,6,226.16666666666666,819.8333333333334,593.6666666666666
71,450.0,9,3,-278.3333333333333,688.6666666666666,967.0
71,500.0,10,3,-137.0,667.3333333333334,804.3333333333334
71,550.0,7,2,47.0,669.0,622.0
74,250.0,13,5,174.8,823.8,649.0
74,300.0,14,4,-25.0,596.75,621.75
74,350.0,14,5,-41.8,643.4,685.2
74,400.0,8,2,80.5,713.5,633.0
76,0.0,17,6,149.33333333333334,721.3333333333334,572.0
76,50.0,6,3,106.33333333333333,816.0,709.6666666666666
76,150.0,7,2,-86.5,726.0,812.5
76,200.0,6,4,-150.25,562.75,713.0
76,300.0,6,2,-52.5,567.5,620.0
76,350.0,5,2,-32.0,578.0,610.0
76,450.0,2,2,-55.5,592.0,647.5
80,0.0,9,3,12.666666666666666,577.3333333333334,564.6666666666666
80,50.0,3,2,59.5,682.0,622.5
80,250.0,9,2,107.5,705.0,597.5
80,350.0,10,4,-17.5,519.75,537.25
80,400.0,4,3,-26.666666666666668,551.3333333333334,578.0
81,500.0,4,2,-16.0,704.0,720.0
81,550.0,6,2,30.5,612.0,581.5
81,600.0,10,2,26.5,694.5,668.0
81,650.0,12,5,-94.8,749.8,844.6
81,700.0,9,3,-118.66666666666667,784.3333333333334,903.0
81,750.0,4,3,92.0,775.6666666666666,683.6666666666666
82,300.0,8,2,43.5,680.0,636.5
82,350.0,18,5,-110.2,572.8,683.0
82,400.0,19,7,-78.14285714285714,620.8571428571429,699.0
82,450.0,8,4,-162.75,573.25,736.0
85,400.0,19,6,-60.333333333333336,578.5,638.8333333333334
85,450.0,14,9,35.111111111111114,658.2222222222222,623.1111111111111
85,500.0,8,3,-2.6666666666666665,700.3333333333334,703.0
85,550.0,4,2,112.0,698.0,586.0
87,200.0,19,5,96.8,717.4,620.6
87,250.0,15,8,1.875,684.5,682.625
87,300.0,4,2,-97.0,613.5,710.5
88,550.0,7,2,84.5,729.0,644.5
88,650.0,10,3,-185.0,799.0,984.0
88,700.0,6,2,-16.5,740.0,756.5
88,750.0,5,2,-7.0,884.5,891.5
89,0.0,6,4,30.75,618.0,587.25
89,100.0,13,4,25.25,603.0,577.75
