subject,ssd,nstoptrials,n_matched_go,mean_violation,mean_stopFailureRT,mean_precedingGoRT
1,150.0,4,2,168.0,764.0,596.0
1,250.0,10,2,248.0,1112.5,864.5
1,300.0,14,4,76.5,726.25,649.75
1,350.0,13,7,174.57142857142858,714.5714285714286,540.0
1,450.0,15,4,31.75,742.0,710.25
1,500.0,10,5,40.0,571.8,531.8
10,200.0,27,5,-17.8,352.4,370.2
10,250.0,28,14,-35.357142857142854,356.2142857142857,391.57142857142856
10,300.0,20,5,43.2,496.0,452.8
10,350.0,10,6,-55.5,397.0,452.5
11,0.0,8,4,31.5,433.25,401.75
11,50.0,10,2,-40.0,383.0,423.0
11,100.0,13,4,67.75,461.0,393.25
11,150.0,18,4,96.0,429.5,333.5
11,200.0,22,6,95.33333333333333,591.3333333333334,496.0
11,250.0,17,7,-10.714285714285714,430.42857142857144,441.14285714285717
11,300.0,8,5,88.2,534.8,446.6
12,350.0,32,9,35.0,555.0,520.0
12,400.0,28,10,19.0,536.4,517.4
12,450.0,13,7,-63.0,502.57142857142856,565.5714285714286
13,200.0,15,4,-48.5,453.5,502.0
13,250.0,18,6,-42.833333333333336,458.3333333333333,501.1666666666667
13,300.0,24,7,-37.714285714285715,543.7142857142857,581.4285714285714
13,350.0,24,9,-52.333333333333336,508.44444444444446,560.7777777777778
13,400.0,12,6,-1.3333333333333333,586.1666666666666,587.5
13,450.0,3,2,15.5,616.0,600.5
14,50.0,12,3,-0.3333333333333333,426.0,426.3333333333333
14,100.0,17,6,115.16666666666667,515.8333333333334,400.6666666666667
14,150.0,26,7,65.57142857142857,434.57142857142856,369.0
14,200.0,29,13,-27.846153846153847,400.9230769230769,428.7692307692308
14,250.0,14,5,-42.8,395.6,438.4
16,0.0,17,4,8.75,383.0,374.25
16,50.0,17,5,-24.2,355.4,379.6
16,100.0,17,7,19.428571428571427,374.0,354.57142857142856
16,150.0,12,3,24.0,396.6666666666667,372.6666666666667
16,200.0,8,3,82.66666666666667,519.6666666666666,437.0
17,50.0,19,3,29.0,437.3333333333333,408.3333333333333
17,100.0,26,5,142.2,501.6,359.4
17,150.0,25,8,59.75,428.5,368.75
17,200.0,15,8,44.25,410.75,366.5
17,300.0,4,3,-13.333333333333334,389.0,402.3333333333333
18,50.0,5,2,185.5,563.5,378.0
18,150.0,21,3,-29.666666666666668,377.0,406.6666666666667
18,200.0,27,11,-26.818181818181817,391.0,417.8181818181818
18,250.0,24,6,-15.666666666666666,400.3333333333333,416.0
18,300.0,14,8,-25.5,415.375,440.875
19,150.0,12,3,-51.333333333333336,516.3333333333334,567.6666666666666
19,200.0,22,4,-4.25,466.75,471.0
19,250.0,22,6,-15.666666666666666,471.1666666666667,486.8333333333333
19,300.0,19,6,22.166666666666668,508.5,486.3333333333333
19,350.0,15,7,3.4285714285714284,444.7142857142857,441.2857142857143
19,400.0,6,5,-69.0,520.0,589.0
2,0.0,16,2,135.5,572.5,437.0
2,50.0,19,6,5.833333333333333,480.3333333333333,474.5
2,100.0,13,4,-58.5,424.0,482.5
2,150.0,10,3,76.66666666666667,479.0,402.3333333333333
2,200.0,11,6,-8.166666666666666,411.1666666666667,419.3333333333333
2,250.0,6,3,-46.0,411.0,457.0
20,0.0,11,2,16.0,358.5,342.5
20,50.0,19,4,-28.25,329.5,357.75
20,100.0,28,7,22.142857142857142,370.7142857142857,348.57142857142856
20,150.0,27,12,-2.4166666666666665,379.4166666666667,381.8333333333333
20,200.0,12,5,-24.2,339.0,363.2
20,250.0,2,2,-88.0,343.0,431.0
21,0.0,23,7,60.714285714285715,415.42857142857144,354.7142857142857
21,50.0,18,8,92.5,485.625,393.125
21,100.0,10,4,0.0,406.25,406.25
21,150.0,6,2,13.5,401.5,388.0
21,250.0,2,2,-24.5,308.5,333.0
22,0.0,9,3,189.0,606.3333333333334,417.3333333333333
22,50.0,9,4,93.75,576.75,483.0
22,100.0,13,2,-16.0,402.0,418.0
22,150.0,21,5,142.0,566.4,424.4
22,200.0,23,9,-54.22222222222222,388.6666666666667,442.8888888888889
22,250.0,15,6,12.5,513.5,501.0
22,300.0,7,3,39.666666666666664,447.6666666666667,408.0
22,350.0,3,2,48.0,451.5,403.5
23,0.0,16,5,-39.2,353.6,392.8
23,50.0,11,6,18.666666666666668,349.8333333333333,331.1666666666667
23,100.0,7,4,-8.0,369.0,377.0
24,100.0,16,4,24.75,516.0,491.25
24,150.0,25,7,122.42857142857143,515.4285714285714,393.0
24,200.0,28,4,-23.75,398.75,422.5
24,250.0,19,9,-76.77777777777777,426.77777777777777,503.55555555555554
24,300.0,6,4,-11.75,415.25,427.0
3,100.0,18,2,177.5,561.0,383.5
3,150.0,27,9,113.66666666666667,507.3333333333333,393.6666666666667
3,200.0,27,13,-9.692307692307692,409.84615384615387,419.53846153846155
3,250.0,18,5,-11.4,420.6,432.0
3,300.0,6,5,-11.2,407.6,418.8
4,50.0,20,5,50.4,408.2,357.8
4,100.0,25,5,59.8,402.4,342.6
4,150.0,22,5,-4.2,386.0,390.2
4,200.0,15,6,-12.666666666666666,375.0,387.6666666666667
4,250.0,8,5,10.8,372.8,362.0
5,300.0,6,3,-56.666666666666664,394.6666666666667,451.3333333333333
5,350.0,6,2,-232.0,406.5,638.5
5,400.0,8,3,168.33333333333334,870.3333333333334,702.0
5,450.0,16,2,-32.0,459.5,491.5
5,500.0,27,10,-44.5,551.0,595.5
6,250.0,15,5,62.0,522.6,460.6
6,300.0,16,6,114.33333333333333,613.3333333333334,499.0
6,350.0,19,4,-104.25,487.0,591.25
6,400.0,19,7,-129.57142857142858,466.42857142857144,596.0
6,450.0,12,7,-91.42857142857143,505.42857142857144,596.8571428571429
6,500.0,6,4,-152.25,446.75,599.0
7,250.0,10,3,162.33333333333334,799.0,636.6666666666666
7,300.0,13,5,-14.0,601.6,615.6
7,350.0,17,4,-91.25,465.0,556.25
7,400.0,26,8,-40.0,597.375,637.375
7,450.0,24,11,-88.27272727272727,553.8181818181819,642.0909090909091
7,500.0,10,6,-96.16666666666667,570.5,666.6666666666666
8,300.0,32,6,-29.666666666666668,496.5,526.1666666666666
8,350.0,34,17,-44.05882352941177,489.11764705882354,533.1764705882352
8,400.0,17,7,7.857142857142857,548.4285714285714,540.5714285714286
8,450.0,8,5,-117.2,452.0,569.2
8,500.0,2,2,-160.5,448.5,609.0
9,100.0,25,4,39.75,414.5,374.75
9,150.0,27,14,2.642857142857143,383.0,380.35714285714283
9,200.0,20,5,-33.8,401.4,435.2
9,250.0,17,8,-12.25,445.25,457.5
9,300.0,6,5,-17.8,478.6,496.4
