subject,ssd,nstoptrials,n_matched_go,mean_violation,mean_stopFailureRT,mean_precedingGoRT
1,300.0,8,2,-80.0,476.5,556.5
1,350.0,12,4,-108.25,473.75,582.0
1,400.0,26,6,187.0,697.5,510.5
1,450.0,30,15,-37.06666666666667,567.9333333333333,605.0
1,500.0,17,9,-20.666666666666668,632.1111111111111,652.7777777777778
10,150.0,13,2,80.0,428.5,348.5
10,200.0,36,11,-31.545454545454547,361.3636363636364,392.90909090909093
10,250.0,37,17,-26.058823529411764,385.47058823529414,411.52941176470586
10,300.0,14,8,-42.125,383.375,425.5
10,350.0,2,2,-8.0,393.0,401.0
11,100.0,13,4,42.75,506.0,463.25
11,150.0,24,7,-1.4285714285714286,453.7142857142857,455.14285714285717
11,200.0,31,13,-36.0,376.61538461538464,412.61538461538464
11,250.0,22,12,-28.333333333333332,434.8333333333333,463.1666666666667
11,300.0,6,6,-26.666666666666668,422.8333333333333,449.5
12,250.0,19,5,27.0,463.4,436.4
12,300.0,33,12,-25.416666666666668,444.75,470.1666666666667
12,350.0,32,17,-8.294117647058824,459.11764705882354,467.4117647058824
12,400.0,12,8,-13.625,483.5,497.125
13,200.0,9,2,159.0,611.0,452.0
13,250.0,15,2,-48.0,472.0,520.0
13,300.0,20,7,-100.57142857142857,438.42857142857144,539.0
13,350.0,23,9,-49.111111111111114,524.3333333333334,573.4444444444445
13,400.0,21,11,-47.63636363636363,541.0,588.6363636363636
13,450.0,10,7,-38.0,598.4285714285714,636.4285714285714
13,500.0,2,2,192.0,827.0,635.0
14,200.0,27,6,-37.0,356.8333333333333,393.8333333333333
14,250.0,37,20,-18.45,377.1,395.55
14,300.0,23,13,-26.76923076923077,398.7692307692308,425.53846153846155
14,350.0,8,3,13.333333333333334,455.6666666666667,442.3333333333333
16,100.0,17,4,75.75,423.5,347.75
16,150.0,29,13,45.46153846153846,430.61538461538464,385.15384615384613
16,200.0,31,14,-45.0,380.14285714285717,425.14285714285717
16,250.0,19,13,-23.076923076923077,374.2307692307692,397.3076923076923
16,300.0,4,4,-30.25,335.5,365.75
17,100.0,9,3,14.666666666666666,379.3333333333333,364.6666666666667
17,150.0,23,5,59.0,396.4,337.4
17,200.0,35,10,-72.2,357.6,429.8
17,250.0,24,17,-14.823529411764707,362.4117647058824,377.2352941176471
17,300.0,8,4,32.5,407.25,374.75
17,350.0,2,2,15.5,364.5,349.0
18,100.0,24,5,-11.4,365.0,376.4
18,150.0,39,17,-46.294117647058826,358.29411764705884,404.5882352941176
18,200.0,27,17,-23.941176470588236,378.6470588235294,402.5882352941176
18,250.0,8,6,16.0,419.0,403.0
19,250.0,34,12,-49.416666666666664,411.5,460.9166666666667
19,300.0,28,16,-39.5,419.8125,459.3125
19,350.0,14,9,3.4444444444444446,461.8888888888889,458.44444444444446
19,400.0,7,3,13.333333333333334,505.3333333333333,492.0
19,450.0,3,2,-70.0,424.5,494.5
2,150.0,32,4,-20.75,363.0,383.75
2,200.0,45,25,-6.24,416.96,423.2
2,250.0,20,14,-9.5,427.35714285714283,436.85714285714283
2,300.0,3,3,116.0,524.3333333333334,408.3333333333333
20,200.0,19,3,103.66666666666667,426.6666666666667,323.0
20,250.0,35,15,-74.86666666666666,363.2,438.06666666666666
20,300.0,31,15,-43.266666666666666,398.8666666666667,442.1333333333333
20,350.0,14,12,-65.33333333333333,408.25,473.5833333333333
21,100.0,31,10,18.2,421.9,403.7
21,150.0,34,19,22.57894736842105,394.3157894736842,371.7368421052632
21,200.0,15,12,1.25,357.8333333333333,356.5833333333333
21,250.0,2,2,-6.0,344.5,350.5
22,150.0,30,8,-63.625,367.125,430.75
22,200.0,38,21,16.80952380952381,421.23809523809524,404.42857142857144
22,250.0,21,13,-21.615384615384617,441.3076923076923,462.9230769230769
22,300.0,5,4,-20.0,438.25,458.25
23,100.0,14,9,79.33333333333333,408.8888888888889,329.55555555555554
23,150.0,9,5,-10.4,347.2,357.6
23,200.0,5,5,-26.4,321.6,348.0
24,200.0,13,4,-48.25,385.75,434.0
24,250.0,22,7,-12.142857142857142,430.0,442.14285714285717
24,300.0,24,11,-37.18181818181818,426.09090909090907,463.27272727272725
24,350.0,17,8,-15.75,461.875,477.625
24,400.0,12,6,10.5,557.0,546.5
24,450.0,8,3,-93.66666666666667,501.6666666666667,595.3333333333334
24,500.0,3,2,48.0,559.0,511.0
3,250.0,29,6,-28.0,411.8333333333333,439.8333333333333
3,300.0,31,16,-57.3125,415.5,472.8125
3,350.0,16,9,-33.77777777777778,417.0,450.77777777777777
3,400.0,7,4,-42.75,528.25,571.0
4,100.0,24,2,-72.0,325.5,397.5
4,150.0,36,16,-71.625,385.4375,457.0625
4,200.0,23,15,-21.533333333333335,390.6666666666667,412.2
4,250.0,13,6,-13.333333333333334,375.0,388.3333333333333
4,300.0,5,5,-152.4,389.0,541.4
5,200.0,12,2,-46.0,351.5,397.5
5,250.0,27,10,-220.8,374.5,595.3
5,300.0,29,17,-97.58823529411765,412.47058823529414,510.05882352941177
5,350.0,19,11,-50.63636363636363,462.09090909090907,512.7272727272727
5,400.0,9,7,-56.57142857142857,513.0,569.5714285714286
5,450.0,3,2,79.0,521.0,442.0
6,150.0,10,3,157.33333333333334,637.0,479.6666666666667
6,200.0,21,7,44.285714285714285,521.7142857142857,477.42857142857144
6,250.0,29,12,76.0,502.1666666666667,426.1666666666667
6,300.0,23,12,-20.25,446.1666666666667,466.4166666666667
6,350.0,10,8,-79.75,411.125,490.875
6,400.0,5,2,128.0,592.5,464.5
6,450.0,3,2,-48.0,498.0,546.0
7,250.0,14,3,-77.33333333333333,378.3333333333333,455.6666666666667
7,300.0,23,8,-45.625,456.25,501.875
7,350.0,23,12,-42.75,501.9166666666667,544.6666666666666
7,400.0,18,9,0.3333333333333333,494.8888888888889,494.55555555555554
7,450.0,15,7,-3.4285714285714284,528.2857142857143,531.7142857142857
7,500.0,8,7,56.57142857142857,617.5714285714286,561.0
8,300.0,11,2,48.0,449.5,401.5
8,350.0,15,6,-68.83333333333333,430.5,499.3333333333333
8,400.0,19,7,-72.14285714285714,468.0,540.1428571428571
8,450.0,19,10,-49.7,548.7,598.4
8,500.0,17,8,-0.25,577.375,577.625
9,150.0,11,4,-60.5,330.25,390.75
9,200.0,16,6,-90.83333333333333,354.0,444.8333333333333
9,250.0,21,7,-33.57142857142857,399.2857142857143,432.85714285714283
9,300.0,19,11,10.636363636363637,429.54545454545456,418.90909090909093
9,350.0,13,5,-52.0,410.8,462.8
9,400.0,11,5,30.2,553.8,523.6
9,450.0,7,5,71.6,557.4,485.8
9,500.0,2,2,55.5,559.5,504.0
