subject,ssd,nstoptrials,n_matched_go,mean_violation,mean_stopFailureRT,mean_precedingGoRT
1,0.0,9,4,151.75,627.25,475.5
1,50.0,8,2,128.0,687.0,559.0
1,100.0,7,2,247.0,790.5,543.5
1,200.0,18,5,36.4,553.8,517.4
1,250.0,12,5,215.8,647.0,431.2
1,350.0,5,2,170.0,634.5,464.5
10,150.0,20,3,66.0,390.3333333333333,324.3333333333333
10,200.0,38,9,-31.333333333333332,320.3333333333333,351.6666666666667
10,250.0,28,14,-22.071428571428573,359.5,381.57142857142856
10,300.0,8,4,-55.5,364.75,420.25
10,350.0,3,2,-48.0,341.5,389.5
11,0.0,15,7,38.142857142857146,314.57142857142856,276.42857142857144
11,50.0,19,3,-46.0,285.0,331.0
11,100.0,22,10,-72.1,295.7,367.8
11,150.0,13,6,12.333333333333334,300.6666666666667,288.3333333333333
11,200.0,5,3,-9.0,330.3333333333333,339.3333333333333
12,50.0,10,2,72.0,402.0,330.0
12,100.0,24,7,53.714285714285715,374.7142857142857,321.0
12,150.0,25,14,20.857142857142858,386.2142857142857,365.35714285714283
12,200.0,16,6,-13.0,384.8333333333333,397.8333333333333
12,250.0,10,6,-0.16666666666666666,421.8333333333333,422.0
12,300.0,8,3,-88.33333333333333,421.3333333333333,509.6666666666667
12,350.0,6,3,13.333333333333334,466.6666666666667,453.3333333333333
13,100.0,16,3,167.0,599.6666666666666,432.6666666666667
13,150.0,21,8,-64.625,458.5,523.125
13,200.0,17,6,-140.0,641.1666666666666,781.1666666666666
13,250.0,14,2,26.0,623.0,597.0
13,300.0,8,5,-69.0,560.4,629.4
14,100.0,8,4,103.25,490.25,387.0
14,150.0,25,4,80.0,432.0,352.0
14,200.0,37,16,-18.875,364.5,383.375
14,250.0,21,11,34.54545454545455,384.09090909090907,349.54545454545456
14,300.0,6,2,-112.0,405.5,517.5
16,0.0,10,4,-20.5,273.5,294.0
16,50.0,6,3,-99.66666666666667,346.0,445.6666666666667
16,100.0,6,3,-65.33333333333333,387.0,452.3333333333333
16,150.0,11,4,-16.0,347.5,363.5
16,200.0,15,4,-20.0,366.5,386.5
16,250.0,13,6,10.333333333333334,510.1666666666667,499.8333333333333
16,300.0,7,4,184.0,600.75,416.75
16,350.0,2,2,24.0,468.0,444.0
17,250.0,4,2,-120.0,362.5,482.5
18,100.0,26,11,45.27272727272727,385.90909090909093,340.6363636363636
18,150.0,23,8,-17.75,330.375,348.125
18,200.0,20,6,-10.833333333333334,361.1666666666667,372.0
18,250.0,10,5,31.0,468.2,437.2
19,200.0,16,4,-207.0,420.0,627.0
19,250.0,24,9,-57.77777777777778,459.55555555555554,517.3333333333334
19,300.0,24,9,-139.77777777777777,421.8888888888889,561.6666666666666
19,350.0,20,8,22.5,548.5,526.0
2,0.0,6,2,41.5,337.5,296.0
2,50.0,6,3,66.33333333333333,358.3333333333333,292.0
2,150.0,2,2,-37.5,299.5,337.0
20,0.0,6,3,25.333333333333332,397.0,371.6666666666667
