ssd,nstoptrials,n_matched_go,mean_violation,mean_stopFailureRT,mean_precedingGoRT,condition
100.0,48.0,4.0,-3.25,556.5,559.75,slow
100.0,48.0,5.0,-33.8,517.0,550.8,slow
100.0,48.0,6.0,39.833333333333336,544.6666666666666,504.8333333333333,slow
100.0,48.0,20.0,-40.3,499.65,539.95,slow
100.0,48.0,18.0,26.555555555555557,544.5,517.9444444444445,slow
100.0,48.0,5.0,41.6,443.4,401.8,slow
100.0,48.0,11.0,18.454545454545453,542.4545454545455,524.0,slow
100.0,48.0,8.0,33.5,507.75,474.25,slow
100.0,48.0,3.0,25.0,432.6666666666667,407.6666666666667,slow
100.0,48.0,10.0,48.3,516.2,467.9,slow
100.0,48.0,3.0,-40.0,557.3333333333334,597.3333333333334,slow
75.0,48.0,2.0,-26.25,423.25,449.5,slow
75.0,48.0,13.5,-15.620454545454546,442.2121212121212,457.83257575757574,slow
75.0,48.0,7.5,10.729166666666668,458.62499999999994,447.8958333333333,slow
75.0,48.0,10.25,-1.2854437229437239,589.4385822510823,590.724025974026,slow
75.0,48.0,3.5,-93.675,555.8583333333333,649.5333333333333,slow
75.0,48.0,7.25,57.22083333333334,660.7520833333333,603.53125,slow
75.0,48.0,13.0,-23.315632832080205,581.3027882205514,604.6184210526316,slow
75.0,48.0,4.5,133.33333333333331,580.6666666666667,447.33333333333337,slow
75.0,48.0,10.75,102.85185439560439,554.6215888278389,451.76973443223443,slow
83.33333333333333,48.0,3.3333333333333335,68.13888888888889,612.8888888888889,544.75,slow
75.0,48.0,18.75,15.250271739130435,536.4895380434783,521.2392663043479,slow
75.0,48.0,10.5,11.974626068376068,588.8704594017094,576.8958333333334,slow
100.0,48.0,19.0,21.894736842105264,394.36842105263156,372.4736842105263,fast
100.0,48.0,6.0,-68.0,409.3333333333333,477.3333333333333,fast
100.0,48.0,19.0,-28.526315789473685,387.2105263157895,415.7368421052632,fast
100.0,48.0,3.0,92.33333333333333,535.3333333333334,443.0,fast
100.0,48.0,9.0,79.0,485.55555555555554,406.55555555555554,fast
100.0,48.0,13.0,-97.61538461538461,399.46153846153845,497.0769230769231,fast
100.0,48.0,8.0,54.375,432.75,378.375,fast
100.0,48.0,17.0,3.5294117647058822,462.4117647058824,458.88235294117646,fast
100.0,48.0,11.0,-9.727272727272727,493.90909090909093,503.6363636363636,fast
100.0,48.0,26.0,9.807692307692308,430.4230769230769,420.61538461538464,fast
100.0,48.0,7.0,-0.8571428571428571,421.85714285714283,422.7142857142857,fast
75.0,48.0,18.75,23.562187812187812,455.2177625006572,431.6555746884694,fast
75.0,48.0,11.5,34.8531746031746,464.05866114561763,429.20548654244305,fast
75.0,48.0,5.75,18.412500000000005,444.86249999999995,426.45,fast
75.0,48.0,26.5,24.03203457235715,365.059704781479,341.0276702091218,fast
75.0,48.0,7.5,-2.8107638888888893,405.03993055555554,407.85069444444446,fast
75.0,48.0,12.25,25.774592731829575,426.73661426293006,400.96202153110045,fast
75.0,48.0,14.0,25.414262820512818,417.2197115384615,391.8054487179487,fast
66.66666666666667,48.0,2.0,-160.0,443.1666666666667,603.1666666666666,fast
100.0,48.0,4.666666666666667,41.75555555555555,436.84444444444443,395.0888888888889,fast
75.0,48.0,27.5,-2.817508133133133,336.52439314314313,339.3419012762763,fast
75.0,48.0,5.25,24.17261904761905,463.72619047619054,439.55357142857144,fast
100.0,48.0,12.666666666666666,32.708333333333336,463.0916666666667,430.3833333333334,fast
