short_subject,short_ssd,short_nstoptrials,short_n_matched_go,short_mean_violation,short_mean_stopFailureRT,short_mean_precedingGoRT,short_condition,intermediate_subject,intermediate_ssd,intermediate_nstoptrials,intermediate_n_matched_go,intermediate_mean_violation,intermediate_mean_stopFailureRT,intermediate_mean_precedingGoRT,intermediate_condition,long_subject,long_ssd,long_nstoptrials,long_n_matched_go,long_mean_violation,long_mean_stopFailureRT,long_mean_precedingGoRT,long_condition
1,0.0,5.0,4.0,-38.75,217.0,255.75,300,1,75.0,15.75,7.5,14.104861111111111,353.2520833333333,339.1472222222222,500,1,75.0,10.5,3.25,2.291666666666666,406.125,403.83333333333337,700
2,75.0,23.75,9.0,-5.111111111111111,296.88194444444446,301.9930555555556,300,2,125.0,40.0,14.0,-50.0,313.69696969696975,363.69696969696975,500,2,150.0,31.0,4.0,-13.5,321.75,335.25,700
3,50.0,18.333333333333332,9.666666666666666,-32.31018518518518,288.6388888888889,320.9490740740741,300,3,75.0,16.25,6.25,-1.4416666666666664,352.05,353.4916666666667,500,3,75.0,20.25,9.5,-12.800595238095237,357.9375,370.73809523809524,700
5,75.0,24.25,7.5,10.928571428571432,406.73511904761904,395.80654761904765,300,5,125.0,20.0,4.0,65.0,469.83333333333337,404.83333333333337,500,5,150.0,12.0,2.0,72.0,495.0,423.0,700
8,75.0,26.75,11.5,-7.8,321.10435606060605,328.90435606060606,300,8,100.0,22.333333333333332,7.333333333333333,19.674603174603178,500.62698412698415,480.95238095238096,500,8,125.0,11.0,4.5,16.333333333333336,410.58333333333337,394.25,700
9,75.0,23.75,10.0,-37.96527777777777,377.33867521367523,415.303952991453,300,9,100.0,28.0,9.666666666666666,-3.870129870129872,387.2337662337662,391.10389610389615,500,9,150.0,22.0,4.0,77.25,383.25,306.0,700
10,0.0,2.0,2.0,26.5,277.5,251.0,300,10,50.0,6.0,4.5,7.25,368.82142857142856,361.57142857142856,500,10,75.0,17.5,7.5,3.5705357142857137,378.72232142857143,375.1517857142857,700
11,75.0,25.0,9.75,3.5125,323.81875,320.30625,300,11,100.0,28.0,8.666666666666666,-20.400000000000002,413.33039215686273,433.73039215686276,500,11,125.0,33.0,9.0,5.0,413.55357142857144,408.55357142857144,700
13,75.0,18.75,8.5,-17.470238095238095,357.9428571428571,375.41309523809525,300,13,100.0,25.666666666666668,9.333333333333334,25.87087912087912,414.6236263736264,388.7527472527472,500,13,100.0,20.0,7.0,66.04166666666666,439.66666666666663,373.625,700
14,50.0,7.0,4.333333333333333,20.86111111111111,308.9444444444444,288.0833333333333,300,14,75.0,23.0,9.5,-19.854166666666668,378.46875,398.3229166666667,500,14,75.0,23.25,10.5,24.752472527472527,418.67884615384617,393.9263736263737,700
