ssd,nstoptrials,n_matched_go,mean_violation,mean_stopFailureRT,mean_precedingGoRT,condition
125.0,33.0,5.5,-60.19444444444444,423.80555555555554,484.0,audio
125.0,43.0,6.0,-80.22222222222223,377.55555555555554,457.77777777777777,audio
125.0,32.5,7.5,28.25,432.0,403.75,audio
125.0,93.0,24.5,-14.664655172413793,407.69224137931036,422.35689655172416,audio
125.0,11.0,2.0,97.5,586.5,489.0,audio
125.0,82.0,17.5,21.85,423.14,401.28999999999996,audio
125.0,62.0,15.0,-51.09316770186335,425.72360248447205,476.81677018633536,audio
150.0,46.0,9.0,-34.22222222222222,580.8888888888889,615.1111111111111,audio
150.0,8.0,2.0,-239.0,703.5,942.5,audio
125.0,106.0,30.5,-21.798809523809524,448.82738095238096,470.62619047619046,audio
125.0,25.0,6.5,84.125,466.475,382.35,audio
125.0,50.0,8.5,15.826923076923077,412.7692307692308,396.9423076923077,audio
125.0,43.0,9.0,-24.863636363636363,430.461038961039,455.32467532467535,audio
150.0,119.0,15.0,-25.533333333333335,343.6666666666667,369.2,audio
150.0,8.0,2.0,2.0,527.5,525.5,audio
125.0,29.0,3.5,-17.05,406.0,423.05,audio
125.0,11.0,2.0,69.25,535.25,466.0,audio
150.0,39.0,11.0,15.636363636363637,409.8181818181818,394.1818181818182,audio
100.0,7.0,2.0,-30.0,439.5,469.5,audio
125.0,98.5,18.5,-8.016129032258064,430.19086021505376,438.2069892473118,audio
150.0,10.0,2.0,-206.5,385.5,592.0,audio
125.0,53.0,12.0,-10.59375,516.5625,527.15625,audio
125.0,77.5,13.0,-44.166666666666664,394.45652173913044,438.6231884057971,visual
150.0,28.0,3.0,-110.66666666666667,391.6666666666667,502.3333333333333,visual
150.0,74.0,9.0,-15.0,404.55555555555554,419.55555555555554,visual
125.0,49.5,9.0,-17.089285714285715,397.1071428571429,414.19642857142856,visual
125.0,50.5,10.0,19.970588235294116,438.11764705882354,418.1470588235294,visual
125.0,81.0,13.0,-16.57246376811594,416.2028985507246,432.77536231884056,visual
125.0,85.5,24.0,-24.472173913043477,438.77478260869566,463.2469565217391,visual
150.0,10.0,2.0,113.0,424.5,311.5,visual
150.0,49.0,6.0,-42.333333333333336,413.0,455.3333333333333,visual
150.0,91.0,11.0,-48.36363636363637,399.1818181818182,447.54545454545456,visual
125.0,78.0,17.5,-25.451048951048953,461.8811188811189,487.33216783216784,visual
150.0,15.0,2.0,50.0,453.0,403.0,visual
150.0,31.0,3.0,-78.66666666666667,358.6666666666667,437.3333333333333,visual
150.0,21.0,2.0,-79.5,566.0,645.5,visual
125.0,35.0,6.5,-74.38636363636364,310.4090909090909,384.7954545454545,visual
150.0,135.0,28.0,-16.607142857142858,414.0357142857143,430.64285714285717,visual
150.0,27.0,4.0,89.25,626.5,537.25,visual
150.0,120.0,38.0,5.421052631578948,468.7105263157895,463.2894736842105,visual
150.0,15.0,3.0,17.333333333333332,493.6666666666667,476.3333333333333,visual
150.0,48.0,4.0,21.25,485.0,463.75,visual
150.0,27.0,4.0,-51.0,461.25,512.25,visual
150.0,30.0,5.0,72.0,479.4,407.4,visual
150.0,21.0,3.0,-25.0,504.3333333333333,529.3333333333334,visual
150.0,105.0,33.0,-27.303030303030305,440.42424242424244,467.72727272727275,visual
