simple_subject,simple_ssd,simple_nstoptrials,simple_n_matched_go,simple_mean_violation,simple_mean_stopFailureRT,simple_mean_precedingGoRT,simple_condition,selective_subject,selective_ssd,selective_nstoptrials,selective_n_matched_go,selective_mean_violation,selective_mean_stopFailureRT,selective_mean_precedingGoRT,selective_condition
12,150.0,10.0,2.0,-97.0,459.0,556.0,simple,12,100.0,6.0,3.0,52.666666666666664,563.0,510.3333333333333,selective
16,125.0,26.0,8.5,-14.576923076923077,445.7692307692308,460.3461538461538,simple,16,150.0,14.0,5.0,12.2,518.2,506.0,selective
35,100.0,8.333333333333334,3.3333333333333335,134.38888888888889,594.7777777777777,460.3888888888889,simple,35,75.0,11.75,4.5,92.06666666666668,622.1958333333333,530.1291666666666,selective
38,125.0,18.0,4.0,-2.3000000000000007,481.6333333333333,483.9333333333333,simple,38,100.0,12.666666666666666,4.666666666666667,12.958333333333334,508.5833333333333,495.625,selective
42,125.0,19.5,4.5,-9.642857142857142,466.42857142857144,476.07142857142856,simple,42,150.0,15.0,2.0,206.0,649.0,443.0,selective
46,100.0,4.0,2.0,-138.0,628.0,766.0,simple,46,75.0,8.25,3.25,37.6875,612.575,574.8875,selective
63,150.0,12.0,4.0,8.75,564.0,555.25,simple,63,75.0,3.5,2.0,61.5,572.25,510.75,selective
66,75.0,10.0,4.0,59.59722222222223,680.9861111111111,621.3888888888889,simple,66,150.0,10.0,3.0,-69.0,503.3333333333333,572.3333333333334,selective
76,75.0,10.5,4.25,-6.199999999999999,586.3416666666666,592.5416666666666,simple,76,66.66666666666667,10.0,3.6666666666666665,56.38888888888889,754.4444444444445,698.0555555555555,selective
80,83.33333333333333,27.333333333333332,9.0,152.44444444444446,688.1944444444443,535.75,simple,80,25.0,6.0,2.5,36.083333333333336,629.6666666666667,593.5833333333333,selective
90,0.0,9.0,6.0,72.5,584.8333333333334,512.3333333333334,simple,90,125.0,6.5,2.0,37.25,573.75,536.5,selective
102,150.0,36.0,3.0,33.0,508.3333333333333,475.3333333333333,simple,102,125.0,13.0,3.0,244.875,758.375,513.5,selective
109,66.66666666666667,9.0,3.6666666666666665,63.38095238095238,652.4761904761905,589.0952380952381,simple,109,150.0,18.0,5.0,-12.6,596.2,608.8,selective
117,150.0,24.0,2.0,75.0,530.0,455.0,simple,117,150.0,5.0,2.0,-138.5,376.5,515.0,selective
122,150.0,30.0,4.0,115.25,567.75,452.5,simple,122,125.0,16.0,4.0,22.166666666666668,523.5,501.33333333333337,selective
123,150.0,28.0,10.0,-15.1,455.4,470.5,simple,123,66.66666666666667,12.0,4.0,105.91666666666667,565.0,459.0833333333333,selective
127,125.0,15.0,4.0,187.83333333333334,683.1333333333333,495.3,simple,127,66.66666666666667,7.666666666666667,2.6666666666666665,3.6666666666666665,631.1666666666666,627.5,selective
128,100.0,17.0,4.333333333333333,8.333333333333334,479.4583333333333,471.125,simple,128,75.0,12.5,4.75,61.58333333333333,506.8958333333333,445.3125,selective
168,125.0,18.5,3.5,10.8,461.25,450.45,simple,168,125.0,17.5,3.5,83.25,510.25,427.0,selective
171,125.0,25.5,6.0,-18.5,424.15,442.65,simple,171,83.33333333333333,11.0,3.0,92.73333333333333,554.3333333333334,461.59999999999997,selective
172,125.0,22.5,7.0,-7.888888888888889,424.58888888888885,432.47777777777776,simple,172,125.0,17.5,5.0,-42.375,427.9375,470.3125,selective
189,83.33333333333333,25.333333333333332,6.333333333333333,48.5,577.6666666666666,529.1666666666666,simple,189,125.0,7.0,2.0,54.25,584.25,530.0,selective
193,150.0,40.0,10.0,-5.4,538.0,543.4,simple,193,150.0,7.0,2.0,-14.0,566.5,580.5,selective
215,150.0,12.0,2.0,61.0,581.0,520.0,simple,215,150.0,7.0,2.0,111.0,567.0,456.0,selective
216,75.0,19.0,4.5,63.56818181818182,623.5795454545455,560.0113636363636,simple,216,75.0,10.5,4.0,89.6625,683.1625,593.5,selective
232,125.0,22.0,4.5,8.666666666666666,487.4166666666667,478.75,simple,232,150.0,16.0,4.0,83.75,597.0,513.25,selective
239,150.0,54.0,10.0,-7.2,421.7,428.9,simple,239,75.0,9.75,4.25,72.53571428571429,571.5833333333333,499.04761904761904,selective
240,125.0,42.5,10.5,-45.96052631578947,432.1578947368421,478.11842105263156,simple,240,100.0,15.0,5.333333333333333,59.05555555555555,432.5,373.4444444444444,selective
241,125.0,26.0,7.5,72.38461538461539,535.0384615384615,462.6538461538462,simple,241,100.0,10.5,4.0,10.666666666666668,479.0333333333333,468.3666666666667,selective
243,150.0,9.0,4.0,198.75,687.5,488.75,simple,243,66.66666666666667,6.666666666666667,3.3333333333333335,107.08888888888889,613.5555555555555,506.4666666666667,selective
247,75.0,17.5,7.75,16.190217391304348,794.3460144927536,778.1557971014493,simple,247,100.0,6.0,3.0,236.0,918.6666666666666,682.6666666666666,selective
271,75.0,12.5,4.0,24.0,432.5,408.5,simple,271,66.66666666666667,9.333333333333334,4.0,52.800000000000004,480.2277777777778,427.42777777777775,selective
278,150.0,13.0,3.0,57.666666666666664,503.3333333333333,445.6666666666667,simple,278,125.0,15.0,5.5,120.125,598.5833333333333,478.45833333333337,selective
280,150.0,4.0,2.0,-1.5,522.5,524.0,simple,280,75.0,8.5,3.75,72.35416666666666,589.4583333333334,517.1041666666666,selective
282,150.0,15.0,3.0,-149.66666666666666,388.3333333333333,538.0,simple,282,150.0,10.0,2.0,136.5,565.0,428.5,selective
