simple_subject,simple_ssd,simple_nstoptrials,simple_n_matched_go,simple_mean_violation,simple_mean_stopFailureRT,simple_mean_precedingGoRT,simple_condition,motor_subject,motor_ssd,motor_nstoptrials,motor_n_matched_go,motor_mean_violation,motor_mean_stopFailureRT,motor_mean_precedingGoRT,motor_condition
16,125.0,26.0,8.5,-14.576923076923077,445.7692307692308,460.3461538461538,simple,16,150.0,21.0,3.0,65.0,507.6666666666667,442.6666666666667,motor
38,125.0,18.0,4.0,-2.3000000000000007,481.6333333333333,483.9333333333333,simple,38,150.0,11.0,3.0,4.0,499.0,495.0,motor
39,125.0,34.0,11.5,-31.25,524.3881578947369,555.6381578947369,simple,39,75.0,11.0,2.5,66.08333333333333,547.75,481.66666666666663,motor
59,150.0,32.0,9.0,-40.77777777777778,488.44444444444446,529.2222222222222,simple,59,150.0,14.0,3.0,34.666666666666664,617.6666666666666,583.0,motor
63,150.0,12.0,4.0,8.75,564.0,555.25,simple,63,150.0,16.0,4.0,-0.25,507.0,507.25,motor
66,75.0,10.0,4.0,59.59722222222223,680.9861111111111,621.3888888888889,simple,66,0.0,6.0,2.0,172.0,760.5,588.5,motor
76,75.0,10.5,4.25,-6.199999999999999,586.3416666666666,592.5416666666666,simple,76,150.0,8.0,2.0,7.5,536.0,528.5,motor
80,83.33333333333333,27.333333333333332,9.0,152.44444444444446,688.1944444444443,535.75,simple,80,100.0,13.333333333333334,2.6666666666666665,189.91666666666666,656.75,466.8333333333333,motor
102,150.0,36.0,3.0,33.0,508.3333333333333,475.3333333333333,simple,102,25.0,16.0,2.0,305.25,850.0,544.75,motor
109,66.66666666666667,9.0,3.6666666666666665,63.38095238095238,652.4761904761905,589.0952380952381,simple,109,0.0,8.0,3.0,-8.0,494.6666666666667,502.6666666666667,motor
117,150.0,24.0,2.0,75.0,530.0,455.0,simple,117,25.0,11.0,3.5,196.5,644.4583333333333,447.95833333333337,motor
127,125.0,15.0,4.0,187.83333333333334,683.1333333333333,495.3,simple,127,150.0,7.0,2.0,303.5,797.5,494.0,motor
128,100.0,17.0,4.333333333333333,8.333333333333334,479.4583333333333,471.125,simple,128,125.0,10.5,2.0,102.25,602.25,500.0,motor
144,100.0,22.333333333333332,6.333333333333333,18.39814814814815,393.01851851851853,374.62037037037044,simple,144,125.0,8.5,2.0,-26.0,372.75,398.75,motor
150,150.0,24.0,5.0,-1.6,465.0,466.6,simple,150,75.0,6.0,2.0,65.5,571.75,506.25,motor
172,125.0,22.5,7.0,-7.888888888888889,424.58888888888885,432.47777777777776,simple,172,150.0,19.0,2.0,126.5,514.0,387.5,motor
189,83.33333333333333,25.333333333333332,6.333333333333333,48.5,577.6666666666666,529.1666666666666,simple,189,0.0,10.0,5.0,99.2,546.4,447.2,motor
193,150.0,40.0,10.0,-5.4,538.0,543.4,simple,193,150.0,7.0,2.0,109.0,651.5,542.5,motor
205,125.0,31.0,11.0,-19.794117647058826,432.06470588235294,451.8588235294118,simple,205,150.0,20.0,4.0,-53.0,408.5,461.5,motor
216,75.0,19.0,4.5,63.56818181818182,623.5795454545455,560.0113636363636,simple,216,0.0,7.0,2.0,160.0,701.5,541.5,motor
217,75.0,9.75,4.0,119.95,612.0928571428572,492.1428571428571,simple,217,150.0,4.0,2.0,110.5,587.0,476.5,motor
220,0.0,3.0,2.0,238.5,740.0,501.5,simple,220,83.33333333333333,14.0,2.0,121.16666666666667,754.8333333333334,633.6666666666666,motor
228,150.0,12.0,2.0,3.5,549.5,546.0,simple,228,100.0,12.0,2.0,-26.0,571.75,597.75,motor
232,125.0,22.0,4.5,8.666666666666666,487.4166666666667,478.75,simple,232,150.0,13.0,2.0,11.0,437.5,426.5,motor
234,150.0,11.0,3.0,-76.33333333333333,446.0,522.3333333333334,simple,234,50.0,10.0,2.0,79.0,660.0,581.0,motor
240,125.0,42.5,10.5,-45.96052631578947,432.1578947368421,478.11842105263156,simple,240,50.0,12.666666666666666,3.0,56.23333333333333,439.56666666666666,383.3333333333333,motor
284,150.0,25.0,3.0,249.66666666666666,808.0,558.3333333333334,simple,284,150.0,13.0,2.0,48.5,541.5,493.0,motor
288,150.0,28.0,9.0,9.222222222222221,411.0,401.77777777777777,simple,288,150.0,16.0,3.0,5.333333333333333,444.3333333333333,439.0,motor
293,75.0,28.5,7.75,-42.802083333333336,353.515625,396.3177083333333,simple,293,50.0,7.0,2.0,-29.5,549.5,579.0,motor
302,100.0,15.666666666666666,5.0,57.2962962962963,566.2222222222223,508.9259259259259,simple,302,125.0,6.0,2.5,-109.16666666666666,425.33333333333337,534.5,motor
314,75.0,18.0,5.75,50.423611111111114,575.1458333333334,524.7222222222222,simple,314,150.0,10.0,2.0,-94.0,500.0,594.0,motor
338,150.0,30.0,6.0,-73.0,443.8333333333333,516.8333333333334,simple,338,150.0,11.0,2.0,-131.0,408.0,539.0,motor
346,125.0,30.5,9.5,20.264285714285712,532.0357142857142,511.77142857142854,simple,346,125.0,11.0,3.5,-16.0,463.05,479.05,motor
